Conference,Score
Southeastern Conference,48.6
Big Ten Conference,46.1
American Athletic Conference,41.0
Big 12 Conference,40.9
Atlantic Coast Conference,37.4
Pac-12 Conference,37.2
Mountain West Conference,31.8
Sun Belt Conference,30.5
Independent,28.3
Conference USA,25.7
Mid-American Conference,24.7
FCS,1.1
