Division,Score
Big Ten Conference - East,57.9
Southeastern Conference - West,53.2
American Athletic Conference - West,51.8
Big 12 Conference,46.7
Big Ten Conference - West,43.9
Atlantic Coast Conference - Atlantic,43.6
Southeastern Conference - East,43.4
Pac-12 Conference - North,40.9
Mountain West Conference - Mountain,39.6
Pac-12 Conference - South,39.3
American Athletic Conference - East,38.9
Sun Belt Conference - East,38.5
Atlantic Coast Conference - Coastal,36.0
Mid-American Conference - West,28.9
Conference USA - East,27.5
Mountain West Conference - West,27.0
Sun Belt Conference - West,25.7
Independent,24.3
Conference USA - West,23.7
Mid-American Conference - East,21.8
FCS,1.4
