Division,Score
Southeastern Conference - West,52.4
Big Ten Conference - East,51.5
American Athletic Conference - West,47.2
Southeastern Conference - East,44.6
Atlantic Coast Conference - Atlantic,42.2
Big Ten Conference - West,41.9
Big 12 Conference,40.7
Pac-12 Conference - North,38.8
Mountain West Conference - Mountain,37.6
Pac-12 Conference - South,37.0
Sun Belt Conference - East,36.0
Atlantic Coast Conference - Coastal,34.2
American Athletic Conference - East,33.2
Conference USA - East,29.2
Independent,28.5
Mountain West Conference - West,26.1
Mid-American Conference - West,26.0
Sun Belt Conference - West,25.6
Mid-American Conference - East,23.1
Conference USA - West,22.4
FCS,1.1
