Division,Score
Big Ten Conference - East,50.2
Southeastern Conference - West,49.5
American Athletic Conference - West,44.3
Big 12 Conference,42.6
Southeastern Conference - East,41.9
Atlantic Coast Conference - Atlantic,40.9
Big Ten Conference - West,39.1
Pac-12 Conference - North,35.8
Mountain West Conference - Mountain,34.7
Pac-12 Conference - South,34.6
American Athletic Conference - East,34.4
Atlantic Coast Conference - Coastal,33.6
Sun Belt Conference - East,31.2
Mid-American Conference - West,25.0
Mountain West Conference - West,24.0
Conference USA - East,23.2
Independent,23.1
Sun Belt Conference - West,22.4
Conference USA - West,21.2
Mid-American Conference - East,16.4
FCS,1.1
