Division,Score
Southeastern Conference - West,53.1
Big Ten Conference - East,51.5
American Athletic Conference - West,47.2
Southeastern Conference - East,44.4
Big Ten Conference - West,42.2
Atlantic Coast Conference - Atlantic,41.6
Big 12 Conference,40.8
Pac-12 Conference - North,38.4
Mountain West Conference - Mountain,37.6
Pac-12 Conference - South,36.9
Sun Belt Conference - East,36.1
Atlantic Coast Conference - Coastal,34.5
American Athletic Conference - East,33.1
Conference USA - East,28.9
Independent,28.4
Mid-American Conference - West,26.4
Mountain West Conference - West,26.1
Sun Belt Conference - West,25.6
Mid-American Conference - East,23.1
Conference USA - West,22.4
FCS,1.1
