Division,Score
Big Ten Conference - East,53.4
Southeastern Conference - West,52.1
American Athletic Conference - West,49.0
Big Ten Conference - West,44.6
Big 12 Conference,44.3
Southeastern Conference - East,44.0
Atlantic Coast Conference - Atlantic,42.1
Pac-12 Conference - South,39.4
Mountain West Conference - Mountain,38.5
Pac-12 Conference - North,37.7
Sun Belt Conference - East,36.8
American Athletic Conference - East,36.1
Atlantic Coast Conference - Coastal,35.3
Conference USA - East,28.8
Independent,28.3
Mid-American Conference - West,28.3
Sun Belt Conference - West,27.4
Mountain West Conference - West,25.1
Conference USA - West,23.3
Mid-American Conference - East,21.8
FCS,1.1
