Conference,Score
Southeastern Conference,33.6
Big Ten Conference,27.7
Big 12 Conference,26.9
Atlantic Coast Conference,26.1
Pac-12 Conference,21.1
Mountain West Conference,20.4
Independent,20.2
American Athletic Conference,19.6
Sun Belt Conference,18.4
Mid-American Conference,16.9
Conference USA,16.5
FCS,1.5
