Division,Score
Big Ten Conference - East,54.5
Southeastern Conference - West,51.9
American Athletic Conference - West,51.6
Big 12 Conference,46.5
Atlantic Coast Conference - Atlantic,43.1
Southeastern Conference - East,42.3
Big Ten Conference - West,41.8
Pac-12 Conference - North,39.2
Pac-12 Conference - South,39.0
Mountain West Conference - Mountain,38.4
American Athletic Conference - East,37.2
Sun Belt Conference - East,36.7
Atlantic Coast Conference - Coastal,35.6
Mid-American Conference - West,28.1
Mountain West Conference - West,26.5
Independent,25.7
Conference USA - East,25.3
Sun Belt Conference - West,24.6
Conference USA - West,24.0
Mid-American Conference - East,18.9
FCS,1.3
