Conference,Score
Big12,32.6
SEC,32.4
B1G,30.3
ACC,27.8
Pac12,25.7
AAC,21.6
SunBelt,19.1
Independents,16.0
MountainWest,14.7
CUSA,14.4
MAC,12.6
FCS,1.0
