Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
Cincinnati,37,55,18,30.4,35.4,17.9
EastCarolina,62,88,26,23.8,22.2,9.4
SouthFlorida,103,116,13,13.5,1.6,1.3
Temple,123,131,8,6.2,-13.0,11.9
UCF,65,33,-32,23.5,21.7,13.0
Houston,49,25,-24,27.2,29.1,14.4
Memphis,80,109,29,19.1,12.9,2.3
Navy,120,113,-7,6.5,-5.8,0.2
SouthernMethodist,20,9,-11,36.1,28.8,19.1
Tulane,38,67,29,29.9,19.4,5.1
Tulsa,90,99,9,16.9,8.5,6.2
BostonCollege,108,98,-10,12.7,12.9,6.3
Clemson,26,6,-20,34.5,26.4,20.0
FloridaState,28,22,-6,33.4,24.8,12.0
Louisville,56,81,25,25.0,24.7,10.6
NorthCarolinaState,15,30,15,37.4,30.7,13.5
Syracuse,12,14,2,39.0,33.1,16.6
WakeForest,29,38,9,33.4,24.7,11.6
Duke,71,102,31,21.8,7.3,1.3
GeorgiaTech,106,106,0,13.0,0.6,3.6
MiamiFL,19,17,-2,36.6,29.6,16.2
NorthCarolina,27,31,4,34.0,22.3,10.8
Pittsburgh,52,16,-36,26.8,28.3,16.4
Virginia,93,79,-14,15.5,5.7,3.4
VirginiaTech,73,95,22,21.6,17.8,6.7
Indiana,70,50,-20,22.6,8.6,8.2
Maryland,46,43,-3,28.1,16.8,10.7
Michigan,7,3,-4,40.9,36.0,24.9
MichiganState,11,11,0,39.4,33.8,17.9
OhioState,2,4,2,45.5,42.9,24.5
PennState,10,20,10,39.7,34.2,15.7
Rutgers,30,54,24,33.3,24.6,7.9
Illinois,51,51,0,27.0,21.9,12.4
Iowa,83,70,-13,18.1,10.9,4.9
Minnesota,14,19,5,38.2,32.0,15.8
Nebraska,91,66,-25,16.9,14.1,8.7
Northwestern,97,64,-33,14.8,4.2,5.2
Purdue,47,74,27,28.0,30.7,12.6
Wisconsin,58,12,-46,24.7,24.0,17.7
Baylor,34,5,-29,31.0,36.7,20.3
IowaState,32,36,4,31.4,21.8,12.3
Kansas,48,69,21,28.0,16.6,4.9
KansasState,22,42,20,34.9,27.0,11.0
Oklahoma,17,18,1,37.0,30.2,16.0
OklahomaState,9,8,-1,39.8,34.3,19.4
TCU,44,61,17,28.5,17.4,5.8
Texas,40,27,-13,29.3,33.3,13.7
TexasTech,21,26,5,35.2,27.5,14.0
WestVirginia,104,75,-29,13.5,15.0,12.5
Charlotte,129,129,0,1.4,-20.5,10.2
FloridaAtlantic,79,97,18,19.2,8.2,2.6
FloridaInternational,132,127,-5,0.0,-25.3,9.8
MiddleTennessee,102,125,23,13.7,2.0,6.6
WesternKentucky,69,62,-7,22.6,8.6,3.7
LouisianaTech,100,117,17,14.0,2.6,1.9
NorthTexas,78,86,8,19.3,8.5,5.1
Rice,107,126,19,12.8,0.2,7.4
UAB,50,13,-37,27.1,28.8,17.0
UTEP,114,119,5,9.3,-3.6,0.5
UTSA,55,78,23,25.2,25.0,11.8
Army,96,59,-37,15.3,20.5,15.3
BrighamYoung,13,29,16,38.5,32.3,13.5
Connecticut,118,110,-8,7.3,-8.4,1.8
Liberty,31,53,22,32.3,23.1,8.0
Massachusetts,128,128,0,2.5,-17.7,10.5
NewMexicoState,127,124,-3,4.2,-10.7,4.3
NotreDame,81,48,-33,18.9,31.5,19.8
Akron,125,122,-3,5.0,-15.2,7.5
BowlingGreen,126,118,-8,5.0,-10.4,2.3
Buffalo,121,108,-13,6.5,-5.8,2.6
KentState,113,114,1,9.5,3.2,0.6
MiamiOH,86,94,8,17.5,9.7,6.9
Ohio,101,92,-9,13.8,2.2,0.4
BallState,115,115,0,8.8,1.0,0.6
CentralMichigan,105,77,-28,13.2,14.2,11.8
EasternMichigan,124,103,-21,5.7,-11.9,1.7
NorthernIllinois,98,90,-8,14.4,3.5,0.6
Toledo,36,46,10,30.4,20.3,9.8
WesternMichigan,76,89,13,20.6,15.9,9.4
AirForce,23,23,0,34.9,27.0,14.5
BoiseState,63,85,22,23.7,22.1,9.8
ColoradoState,119,104,-15,6.7,-5.2,3.8
NewMexico,92,71,-21,15.8,6.2,4.8
UtahState,122,93,-29,6.4,-10.4,3.0
Wyoming,88,91,3,17.1,4.5,3.2
FresnoState,74,52,-22,21.1,16.9,8.2
Hawaii,130,132,2,1.3,-20.7,13.0
Nevada,99,56,-43,14.1,-0.6,5.3
SanDiegoState,89,105,16,17.0,8.7,3.7
SanJoseState,111,112,1,11.5,-2.4,4.0
UNLV,95,80,-15,15.3,5.3,3.1
California,72,76,4,21.7,7.2,3.9
Oregon,64,82,18,23.6,22.0,10.4
OregonState,24,32,8,34.7,26.7,13.5
Stanford,94,87,-7,15.4,5.5,2.1
Washington,43,68,25,28.8,17.8,5.0
WashingtonState,67,96,29,23.4,9.8,0.0
Arizona,84,57,-27,17.8,10.3,6.4
ArizonaState,66,41,-25,23.5,21.6,11.3
Colorado,116,120,4,7.6,-2.5,3.3
UCLA,35,37,2,30.9,21.0,12.0
USC,25,45,20,34.7,26.7,10.7
Utah,33,58,25,31.3,37.2,15.9
Florida,53,24,-29,26.6,27.8,14.4
Georgia,1,1,0,47.9,46.5,30.7
Kentucky,8,15,7,39.9,34.6,16.5
Missouri,77,49,-28,19.9,14.5,8.5
SouthCarolina,59,39,-20,24.6,23.9,11.3
Tennessee,5,7,2,43.7,40.2,19.7
Vanderbilt,87,72,-15,17.5,5.3,2.8
Alabama,4,2,-2,44.6,41.5,25.7
Arkansas,6,10,4,41.0,36.1,18.7
Auburn,54,44,-10,26.4,14.3,10.7
LSU,60,84,24,24.6,23.8,10.0
MississippiState,18,40,22,36.9,29.9,11.3
OleMiss,3,28,25,44.8,37.4,13.6
TexasAM,68,35,-33,23.4,21.4,12.4
AppalachianState,61,83,22,24.1,23.0,10.0
CoastalCarolina,57,21,-36,25.0,12.1,14.9
GeorgiaSouthern,39,47,8,29.4,18.8,9.2
