Conference,Score
Big12,37.4
SEC,36.3
B1G,32.4
ACC,28.8
Pac12,28.1
AAC,25.8
SunBelt,23.6
Independents,20.0
MountainWest,16.0
CUSA,14.8
MAC,13.7
FCS,0.7
