Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
Cincinnati,34,40,6,32.0,18.3,9.9
EastCarolina,38,41,3,31.1,22.6,6.2
SouthFlorida,122,120,-2,4.3,-7.7,3.0
Temple,117,121,4,6.8,-10.3,6.8
UCF,14,16,2,43.3,34.6,8.6
Houston,62,52,-10,23.3,15.4,7.6
Memphis,65,60,-5,20.9,17.3,5.4
Navy,78,73,-5,17.9,18.6,7.6
SouthernMethodist,61,66,5,23.6,16.0,9.4
Tulane,12,13,1,43.4,27.4,7.7
Tulsa,107,103,-4,10.5,-0.7,5.7
BostonCollege,115,114,-1,7.2,-4.7,5.2
Clemson,11,8,-3,44.6,30.1,10.1
FloridaState,23,32,9,37.6,33.2,8.1
Louisville,22,28,6,38.2,34.1,7.7
NorthCarolinaState,26,26,0,36.5,24.9,8.6
Syracuse,31,21,-10,33.7,26.9,9.4
WakeForest,41,29,-12,30.6,21.8,7.9
Duke,37,46,9,31.2,22.7,7.1
GeorgiaTech,87,97,10,14.5,3.6,3.5
MiamiFL,81,69,-12,16.1,6.9,9.1
NorthCarolina,24,24,0,37.0,20.2,6.4
Pittsburgh,52,58,6,26.5,21.4,9.1
Virginia,89,86,-3,13.7,7.6,3.1
VirginiaTech,113,110,-3,8.6,-0.1,5.2
Indiana,105,100,-5,10.5,-0.6,4.8
Maryland,43,34,-9,29.4,19.9,7.5
Michigan,3,5,2,64.3,48.1,12.6
MichiganState,71,81,10,19.2,13.6,10.1
OhioState,1,1,0,67.8,52.2,15.0
PennState,15,19,4,43.2,34.5,9.9
Rutgers,82,76,-6,15.9,6.5,5.9
Illinois,19,11,-8,40.9,31.1,8.4
Iowa,56,67,11,25.3,19.0,6.0
Minnesota,28,25,-3,35.5,29.8,9.8
Nebraska,99,101,2,11.6,2.3,5.3
Northwestern,119,119,0,6.2,-1.2,4.7
Purdue,54,43,-11,25.7,19.8,8.6
Wisconsin,44,54,10,29.3,26.5,8.8
Baylor,20,22,2,40.6,38.0,10.6
IowaState,55,65,10,25.4,27.0,7.5
Kansas,21,27,6,38.2,34.1,8.3
KansasState,18,10,-8,41.4,39.3,9.6
Oklahoma,42,36,-6,30.3,28.3,9.9
OklahomaState,35,23,-12,31.8,23.8,10.6
TCU,5,6,1,56.6,38.9,10.5
Texas,10,15,5,45.0,45.2,11.5
TexasTech,57,49,-8,25.1,26.4,8.0
WestVirginia,69,64,-5,19.7,23.3,7.5
Charlotte,130,127,-3,0.6,-25.8,6.5
FloridaAtlantic,85,84,-1,14.7,4.0,2.9
FloridaInternational,129,129,0,0.6,-26.5,7.9
MiddleTennessee,101,91,-10,11.2,-3.6,7.7
WesternKentucky,63,71,8,21.6,9.9,5.8
LouisianaTech,121,122,1,5.4,-13.8,5.7
NorthTexas,75,80,5,18.5,6.8,2.7
Rice,96,99,3,12.5,-4.6,8.1
UAB,67,61,-6,19.9,15.1,8.9
UTEP,114,113,-1,7.7,-10.0,2.9
UTSA,47,50,3,28.5,13.2,6.7
Army,77,70,-7,18.1,15.6,7.6
BrighamYoung,68,78,10,19.8,11.8,9.0
Connecticut,90,104,14,13.4,-1.0,3.2
Liberty,32,35,3,33.1,15.1,6.7
Massachusetts,127,126,-1,1.3,-22.4,5.7
NewMexicoState,125,124,-1,2.7,-21.5,5.6
NotreDame,25,33,8,36.7,31.7,9.6
Akron,126,128,2,1.4,-21.9,5.6
BowlingGreen,104,109,5,10.5,-8.4,3.2
Buffalo,86,77,-9,14.6,-0.9,4.6
KentState,91,85,-6,13.0,5.9,6.1
MiamiOH,95,96,1,12.6,-0.6,4.1
Ohio,80,93,13,16.4,-1.3,2.6
BallState,97,106,9,12.5,-4.7,3.5
CentralMichigan,98,111,13,12.0,3.3,7.3
EasternMichigan,118,116,-2,6.7,-14.6,4.1
NorthernIllinois,111,105,-6,9.0,1.4,2.2
Toledo,58,55,-3,24.6,12.0,5.6
WesternMichigan,116,117,1,6.9,-9.9,8.8
AirForce,29,37,8,34.6,28.3,7.8
BoiseState,53,47,-6,26.2,14.7,5.7
ColoradoState,128,132,4,1.2,-24.1,8.9
NewMexico,120,118,-2,5.4,-10.3,5.6
UtahState,112,115,3,8.7,-9.1,5.3
Wyoming,70,72,2,19.4,3.7,3.0
FresnoState,79,83,4,17.1,3.8,5.5
Hawaii,132,131,-1,0.0,-27.9,7.5
Nevada,124,125,1,2.9,-18.4,7.0
SanDiegoState,84,90,6,14.8,-0.4,3.2
SanJoseState,74,74,0,18.6,-0.0,7.5
UNLV,94,94,0,12.6,-0.6,5.1
California,92,95,3,12.8,5.3,4.5
Oregon,8,9,1,49.1,35.9,8.6
OregonState,39,31,-8,31.0,22.5,7.2
Stanford,103,89,-14,10.9,0.3,3.4
Washington,40,44,4,31.0,16.9,7.2
WashingtonState,60,75,15,23.9,16.5,5.8
Arizona,110,108,-2,9.4,-3.6,4.5
ArizonaState,100,92,-8,11.3,1.6,6.5
Colorado,123,123,0,3.2,-14.0,3.7
UCLA,9,12,3,45.1,30.7,7.6
USC,17,14,-3,42.3,27.0,9.2
Utah,16,17,1,42.4,33.3,10.3
Florida,51,57,6,27.0,22.3,7.4
Georgia,2,2,0,66.6,50.8,15.2
Kentucky,48,53,5,27.8,17.2,9.1
Missouri,64,59,-5,21.0,17.6,5.0
SouthCarolina,59,62,3,24.2,11.4,6.7
Tennessee,4,3,-1,57.0,46.1,12.1
Vanderbilt,93,88,-5,12.6,4.9,2.2
Alabama,6,4,-2,54.1,50.2,14.4
Arkansas,50,42,-8,27.1,22.4,9.6
Auburn,83,82,-1,15.5,12.4,5.4
LSU,13,20,7,43.3,34.6,8.7
MississippiState,46,45,-1,29.0,19.1,8.2
OleMiss,7,7,0,51.9,38.2,11.1
TexasAM,88,79,-9,14.1,8.8,7.1
AppalachianState,49,39,-10,27.3,22.8,6.6
CoastalCarolina,36,48,12,31.8,13.4,6.9
GeorgiaSouthern,73,68,-5,18.7,6.8,5.5
GeorgiaState,72,87,15,19.0,13.3,4.4
JamesMadison,30,18,-12,33.9,30.1,10.5
Marshall,45,51,6,29.3,26.5,7.6
OldDominion,106,102,-4,10.5,-0.6,4.0
ArkansasState,109,107,-2,9.6,3.4,3.2
LouisianaLafayette,66,63,-3,20.1,12.3,4.3
LouisianaMonroe,108,112,4,10.2,-1.4,3.1
SouthAlabama,27,30,3,36.1,24.2,6.4
SouthernMiss,76,56,-20,18.5,6.4,5.3
TexasState,102,98,-4,10.9,0.4,5.0
Troy,33,38,5,32.2,17.1,5.3
FCS,131,130,-1,0.3,-24.1,5.5
