Division,Score
Southeastern Conference - West,28.2
Big Ten Conference - East,27.2
Big Ten Conference - West,26.9
Atlantic Coast Conference - Atlantic,25.6
Big 12 Conference,24.8
Southeastern Conference - East,24.7
Pac-12 Conference - South,21.0
Atlantic Coast Conference - Coastal,20.3
Mountain West Conference - Mountain,20.2
American Athletic Conference,20.0
Mid-American Conference - West,18.0
Pac-12 Conference - North,17.9
Conference USA - West,17.8
Mountain West Conference - West,17.3
Independent,17.0
Sun Belt Conference - East,16.5
Conference USA - East,12.4
Mid-American Conference - East,11.9
Sun Belt Conference - West,10.1
FCS,1.0
