Conference,Score
SEC,27.0
Big12,26.4
B1G,24.3
ACC,21.6
Pac12,20.1
AAC,17.5
SunBelt,15.7
Independents,11.9
CUSA,11.2
MountainWest,10.2
MAC,9.5
FCS,0.4
