Division,Score
Big Ten Conference - West,29.4
Southeastern Conference - West,29.3
Southeastern Conference - East,28.9
Big Ten Conference - East,28.4
Atlantic Coast Conference - Atlantic,28.2
Big 12 Conference,25.9
Atlantic Coast Conference - Coastal,22.4
Pac-12 Conference - South,22.1
American Athletic Conference,21.1
Mountain West Conference - Mountain,20.1
Conference USA - West,19.3
Mid-American Conference - West,19.1
Pac-12 Conference - North,19.1
Independent,18.5
Sun Belt Conference - East,17.6
Mountain West Conference - West,17.4
Mid-American Conference - East,13.0
Conference USA - East,12.7
Sun Belt Conference - West,11.2
FCS,1.1
