Team,Strength,StandardDeviation,PointsMargin,AverageOpponentStrength,RushingYardsMargin,HomeFieldCorrection,GamesPlayed
georgia,-0.4567021052606941,16.856919989463915,10.625,-19.732562778746907,97.375,0.125,8
florida,-8.29142627350506,13.506425122878815,16.88888888888889,-24.16654387337955,-12.11111111111111,0.0,9
missouri,-23.76089385234482,12.663519685057947,-0.25,-23.285173300147065,9.25,-0.25,8
kentucky,-23.750590720150143,16.6454487427751,-4.7,-20.783302565502307,20.7,0.0,10
tennessee,-26.0222776754101,15.549160419882393,-11.25,-15.107101220405657,4.0,0.0,8
south-carolina,-36.012217357344966,17.352726048539864,-12.5,-21.210305485500356,-27.5,0.0,10
vanderbilt,-51.62772345090463,15.938950216855915,-22.25,-23.382289348327433,-71.625,0.0,8
alabama,15.530035765392144,12.844601757568764,30.88888888888889,-20.82032398661325,70.55555555555556,-0.1111111111111111,9
texas-am,-6.059194408407496,10.963768342146496,9.25,-23.73209921220259,100.625,0.0,8
auburn,-18.14926494307906,17.46994856461828,0.6666666666666666,-17.41351980045283,-11.444444444444445,-0.1111111111111111,9
louisiana-state,-30.141436412301097,25.238146587547465,-4.625,-22.65550240907086,-46.125,0.25,8
mississippi,-23.84354501364046,13.081252182690205,1.0,-22.933243500683723,-10.875,-0.25,8
mississippi-state,-35.19901074892541,20.129327962843142,-10.125,-18.28936332777813,-93.0,0.25,8
arkansas,-25.965750276952654,12.071731891924138,-4.777777777777778,-19.10263904809713,-30.22222222222222,0.1111111111111111,9
buffalo,29.16982263401045,5.15628165153366,26.25,-9.280310286766033,145.75,0.0,4
kent-state,2.179661237817685,14.252703712140994,11.75,-11.830397690902487,27.0,0.0,4
miami-oh,8.442017036768071,5.881588919584284,2.0,4.969173893019878,1.6666666666666667,0.3333333333333333,3
ohio,-2.1115714343115504,6.710242375825366,17.666666666666668,-20.370140151369498,23.0,-0.3333333333333333,3
akron,-30.229449712294272,22.9527381876757,-19.2,-5.1401318283614525,-60.8,-0.2,5
bowling-green-state,-41.06548009314646,16.274827743818168,-33.6,2.2982027514641477,-126.2,0.2,5
ball-state,15.967148757343457,4.119676561324393,6.8,3.847030899903128,54.0,0.2,5
toledo,12.482551032098424,19.647156282910085,12.6,-6.023508029084219,61.0,0.2,5
western-michigan,6.854714111064999,15.695713142569351,9.6,-3.88726244990934,23.2,-0.2,5
central-michigan,10.184509351332238,10.12480013615077,1.6,1.7672737026827634,91.0,-0.2,5
eastern-michigan,-5.196483592179668,10.031272075061986,-5.0,9.533716897931363,-125.8,0.2,5
northern-illinois,-6.677439328503425,7.1679876625304795,-15.0,14.931749177169916,-69.4,-0.2,5
oklahoma,41.56047607810492,11.901665318745536,21.444444444444443,15.173410447209658,69.66666666666667,-0.2222222222222222,9
iowa-state,40.63818932479747,11.59590679467471,12.7,20.752647776652946,95.4,-0.2,10
oklahoma-state,27.21665498411745,8.850631198338416,3.5555555555555554,22.62673988260913,17.666666666666668,-0.1111111111111111,9
texas,36.32742880446595,8.945871544833405,12.222222222222221,21.050618163406767,47.111111111111114,-0.2222222222222222,9
texas-christian,29.031354495424655,7.839306163371731,2.6666666666666665,21.182236586471124,67.22222222222223,-0.1111111111111111,9
west-virginia,22.671312482882854,10.16210068762012,6.333333333333333,15.173410447209658,19.22222222222222,-0.1111111111111111,9
kansas-state,13.096806158614893,6.004451097584738,-5.6,20.814565080711965,-25.3,0.0,10
texas-tech,8.867284431693449,7.405405121964473,-7.6,19.192519815418123,-23.0,-0.2,10
baylor,14.950797701692476,4.983092127941899,-1.75,22.188003885981857,-77.5,0.25,8
kansas,-14.688820688129343,5.853245373251199,-30.22222222222222,26.08233015033668,-131.33333333333334,0.1111111111111111,9
ohio-state,25.305666623063086,20.961343678857418,23.4,-10.352451631764627,156.0,-0.2,5
indiana,2.5677183446014915,8.143853680100001,10.714285714285714,-6.039407581148148,-32.0,0.14285714285714285,7
penn-state,-4.77751620469039,19.46591535732705,-4.428571428571429,-3.8739953337584483,35.285714285714285,0.14285714285714285,7
maryland,-20.347812834152066,15.684695668676211,-9.75,-4.478341868009185,-97.0,0.5,4
michigan,-17.885935197620228,21.097719313062072,-6.166666666666667,-7.715336972048068,-47.833333333333336,0.0,6
rutgers,-18.931506796341704,9.861173945373876,-6.428571428571429,-7.411388938901422,-54.0,-0.14285714285714285,7
michigan-state,-24.032490154738205,16.513752031165446,-17.5,0.6044512918519116,-69.33333333333333,-0.3333333333333333,6
northwestern,3.808398905614226,11.048544471330121,9.5,-6.877434482911843,14.166666666666666,0.0,6
iowa,8.7623658717946,10.573822259279419,15.0,-12.02274361456521,62.285714285714285,0.14285714285714285,7
wisconsin,18.393741496442466,14.808036166361711,14.5,-6.7787590002916716,127.5,0.0,4
minnesota,-19.511968517562067,22.906276575756145,-4.8,-12.505709628580682,-16.8,-0.2,5
nebraska,-6.588463347654322,11.461566217002396,-8.333333333333334,0.006958202142633763,4.833333333333333,0.3333333333333333,6
purdue,-17.451947929163538,6.916886220768209,-2.6666666666666665,-8.01106532298524,-65.0,-0.3333333333333333,6
illinois,-15.605218053762176,11.537309982715213,-10.833333333333334,-5.887963203747427,13.333333333333334,0.0,6
clemson,50.89967249031888,11.967308576751797,27.7,19.57163110775234,52.9,-0.2,10
notre-dame,47.124200419478434,13.421086271959016,20.6,16.032276364502376,134.9,-0.2,10
north-carolina-state,17.96331711412772,12.132603575115256,1.3636363636363635,19.809317246590194,-34.0,-0.09090909090909091,11
boston-college,14.945689443554325,8.907297676932261,-0.5454545454545454,21.683753885977424,-69.63636363636364,-0.09090909090909091,11
wake-forest,27.736186278158655,13.189591262027532,9.571428571428571,19.262337563151693,-6.285714285714286,-0.14285714285714285,7
louisville,20.906825998884653,8.775907087238593,0.8,19.319990668145085,9.4,0.0,10
florida-state,6.5425914906671085,7.662650912040542,-14.125,21.4314077026882,-9.125,0.0,8
syracuse,-0.30864882576044916,6.32388044100894,-14.909090909090908,24.772886390132875,-117.18181818181819,-0.09090909090909091,11
miami-fl,38.04500771036618,11.680532407764018,12.88888888888889,21.82847162845979,34.44444444444444,0.1111111111111111,9
north-carolina,32.199528839044085,11.387950306186871,12.5,15.184205062239315,63.5,-0.2,10
pittsburgh,23.649830862571914,8.7496229984764,3.5,20.338777892955,7.3,-0.2,10
virginia-tech,26.148124275703218,11.844392332194506,-2.9,25.298100571752663,44.8,0.0,10
virginia,26.813370236418457,10.062050092917897,3.2222222222222223,20.841494229388903,48.77777777777778,-0.3333333333333333,9
georgia-tech,10.441551864822705,7.862419245386537,-12.777777777777779,21.478120390545953,26.11111111111111,-0.1111111111111111,9
duke,3.7562213778357445,9.455531379861988,-12.5,20.843303944275178,-54.8,0.0,10
cincinnati,47.2886781476681,15.86665391029285,25.875,13.22248649686504,121.75,-0.5,8
tulsa,26.136627855627353,10.259029855783073,7.857142857142857,16.619879905820255,13.0,0.14285714285714285,7
memphis,12.750276079749652,4.891178121605379,1.7777777777777777,11.203027703780297,2.5555555555555554,-0.1111111111111111,9
central-florida,31.473214005807172,8.703849346408886,12.88888888888889,16.270449212915242,22.333333333333332,0.1111111111111111,9
southern-methodist,17.15116811753533,7.013216548299681,7.7,8.969250485281098,-3.8,0.2,10
houston,21.590943214361104,7.701587802366522,0.16666666666666666,25.50595314619986,-32.833333333333336,-0.3333333333333333,6
navy,4.634368555613518,3.959450868739774,-13.555555555555555,20.903728138361373,-27.11111111111111,-0.1111111111111111,9
tulane,27.9361363236941,7.486039490619536,8.181818181818182,12.633333870146895,80.72727272727273,0.09090909090909091,11
east-carolina,10.638117250889417,8.965432019387721,-5.222222222222222,17.72245722752564,-27.555555555555557,0.1111111111111111,9
temple,-7.6377879236600466,4.549985626331559,-17.285714285714285,14.553254348053425,-65.42857142857143,0.14285714285714285,7
south-florida,-2.7104998969152083,6.918156266599052,-16.77777777777778,18.94280754023679,-63.55555555555556,0.1111111111111111,9
coastal-carolina,36.708095695701964,16.722284332363405,20.2,10.184724775920941,85.1,-0.2,10
appalachian-state,27.82779487524614,7.665693908640019,13.0,6.219253260870286,112.4,-0.2,10
georgia-southern,23.12481975701489,11.315064353496696,5.181818181818182,4.791942122647761,161.45454545454547,-0.09090909090909091,11
georgia-state,15.230209862360464,8.00478540120267,-0.2222222222222222,11.720882870610023,49.888888888888886,-0.1111111111111111,9
troy,5.477000694472891,6.534290103469,2.2,7.624912698779943,-61.5,0.2,10
louisiana-lafayette,28.493183317662158,7.246853639434227,12.1,13.34149497756681,26.9,0.2,10
south-alabama,-2.1363483169900954,7.398083949192189,-7.363636363636363,10.872004869985748,-63.09090909090909,-0.09090909090909091,11
arkansas-state,1.5709731920697667,5.010559869382206,-4.2727272727272725,8.112994704989552,-31.454545454545453,0.09090909090909091,11
texas-state,-3.109384793565993,8.55400511282074,-10.5,15.3496498905998,-95.08333333333333,0.0,12
louisiana-monroe,-26.21569063057694,11.438648961132555,-25.7,13.906833570107747,-172.3,0.0,10
oregon,19.08759579566959,9.542360531178707,6.2,11.669066364425138,5.0,0.2,5
washington,9.299665154556221,10.511765811284013,5.25,6.794076860822769,15.0,-1.0,4
stanford,8.725266382761534,6.0973943423115955,-4.5,16.519663688004186,-63.25,0.5,4
oregon-state,4.657112642686205,11.347271603092446,-3.0,10.633465685157532,-26.0,-0.2,5
california,6.249719607171999,7.521349855656705,-6.25,16.22463154524781,-44.5,0.0,4
washington-state,6.284681829632036,5.761351935828658,-9.666666666666666,14.450603390467624,2.0,0.3333333333333333,3
southern-california,19.607101733047077,12.3322694592489,11.5,11.329778353629582,-38.5,0.0,4
colorado,31.44167419461894,14.697885901331933,7.5,15.884982643162765,96.25,0.0,4
utah,12.245666038757815,18.357248096591004,-4.333333333333333,11.187959843429834,80.33333333333333,-0.3333333333333333,3
arizona-state,25.240503167042952,14.155495070262473,-4.0,26.017826546460498,38.5,0.0,2
ucla,32.428551359873914,15.062637958168988,7.8,16.713551028717802,85.0,0.2,5
arizona,1.5482623790855212,10.344136193204386,-12.25,23.19424811052404,-112.25,0.0,4
boise-state,15.524587264830176,11.587937505096987,10.6,12.287128746743603,-78.4,-0.2,5
air-force,35.15425058572396,11.1134732110874,11.8,5.002343811976662,228.8,-0.2,5
wyoming,17.240798064138126,17.157628812057013,8.2,-3.3034612222306037,118.8,0.6,5
new-mexico,-0.2005271515777724,17.907161456098894,-11.833333333333334,9.925776783626716,-3.5,0.5,6
colorado-state,1.8948869645327913,6.2148578662484715,-13.5,12.09744572767482,15.5,0.5,4
utah-state,-16.057248942996114,11.482181116484103,-19.666666666666668,12.029849426077044,-84.66666666666667,-0.3333333333333333,6
san-jose-state,21.1105393340135,23.811035541705557,13.4,6.3007039370426625,26.4,-0.2,5
nevada,6.076388275754929,24.634194490830676,9.428571428571429,-1.0972335212239637,-13.285714285714286,-0.2857142857142857,7
san-diego-state,20.83785045093009,22.711973492922986,9.857142857142858,2.882597946580154,103.57142857142857,-0.14285714285714285,7
hawaii,-3.970066614874103,12.185985788484972,-6.142857142857143,10.768026195555706,-95.85714285714286,-0.14285714285714285,7
fresno-state,-5.213452869199108,5.468879871558715,5.4,-6.474805580514273,-59.0,0.2,5
nevada-las-vegas,-20.31798758498886,17.1116758815194,-21.4,12.01042465112751,-121.0,-0.2,5
liberty,22.878725602664492,11.34404812180175,19.1,-5.6082807538261426,121.7,-0.2,10
massachusetts,-28.963987677143994,21.11031339220306,-37.25,21.550351361690737,-206.25,1.0,4
new-mexico-state,-9.325873406851315e-15,17.26978638045178,0.0,0.0,0.0,0.0,0
brigham-young,44.41382174133148,11.421568598202937,29.8,7.620803731559314,93.1,-0.2,10
army,33.76567439128293,9.414670589799432,14.222222222222221,6.032941674256514,177.33333333333334,-0.3333333333333333,9
connecticut,1.7763568394002505e-14,15.57318437644206,0.0,0.0,0.0,0.0,0
marshall,27.85624809337152,10.891778252691823,21.375,-1.3123405977492386,117.0,-0.5,8
florida-atlantic,12.341611993712055,5.975893319227126,6.0,1.9265613414564031,59.57142857142857,-0.14285714285714285,7
western-kentucky,-0.20181079637104887,7.142470908403788,-5.2727272727272725,7.903323042223151,-38.18181818181818,0.09090909090909091,11
charlotte,-4.939101635002901,6.930076043110138,-5.5,4.180163301390095,-59.166666666666664,0.3333333333333333,6
middle-tennessee-state,-11.793758141877161,8.831154999239732,-12.555555555555555,6.775980762192539,-87.77777777777777,0.3333333333333333,9
florida-international,-16.225529151849347,5.972947425033281,-10.0,0.8691534940676533,-75.2,-0.2,5
old-dominion,-3.552713678800501e-15,13.633717299416384,0.0,0.0,0.0,0.0,0
alabama-birmingham,19.776290809610437,14.192273970418082,7.0,8.54060991360253,57.42857142857143,-0.14285714285714285,7
texas-san-antonio,12.835290800175697,11.43301291656116,3.4545454545454546,4.554616761835068,62.0,-0.09090909090909091,11
louisiana-tech,1.6279478681649016,4.899866032757013,-0.375,7.2450289945020305,-62.625,0.0,8
north-texas,-10.065525455415047,7.233438405157127,-7.25,-0.7318195691661797,-1.0,-0.5,8
rice,7.5424782840652655,6.6845355156011586,7.0,-0.8506540406302987,-7.25,0.5,4
southern-mississippi,-9.399580658600504,8.129656965571991,-9.333333333333334,4.615321458022021,-40.0,-0.3333333333333333,9
texas-el-paso,-8.577312186667278,11.361824395158651,-8.857142857142858,0.1081248599195197,-18.428571428571427,0.42857142857142855,7
fcs,-18.87900118779007,12.13783279908665,-27.205882352941178,15.553317673826532,-134.11764705882354,1.0,34
