Team,Strength,StandardDeviation,PointsMargin,AverageOpponentStrength,RushingYardsMargin,HomeFieldCorrection,GamesPlayed
georgia,36.397606130221824,18.198803065110912,18.214285714285715,0.0,110.92857142857143,-0.015306122448979591,1
florida,28.618706088063703,14.309353044031852,17.76923076923077,0.0,25.384615384615383,-0.01183431952662722,1
missouri,9.833927561881397,4.916963780940699,5.916666666666667,0.0,16.916666666666668,-0.013888888888888888,1
kentucky,19.30817892131458,9.65408946065729,7.846153846153846,0.0,122.53846153846153,-0.02366863905325444,1
tennessee,8.995242992693614,4.497621496346807,2.4615384615384617,0.0,3.8461538461538463,-0.02366863905325444,1
south-carolina,10.501942244045484,5.250971122022742,-3.6666666666666665,0.0,-8.416666666666666,-0.020833333333333332,1
vanderbilt,-15.329778106692238,7.664889053346119,-15.25,0.0,-82.41666666666667,-0.013888888888888888,1
alabama,37.09356418016446,18.54678209008223,28.615384615384617,0.0,31.307692307692307,-0.01775147928994083,1
texas-am,20.450558522387027,10.225279261193513,7.0,0.0,28.846153846153847,-0.01775147928994083,1
auburn,34.66039080654812,17.33019540327406,13.692307692307692,0.0,76.23076923076923,-0.01775147928994083,1
louisiana-state,44.07172130130958,22.03586065065479,26.533333333333335,0.0,45.733333333333334,-0.008888888888888889,1
mississippi,15.647202283606399,7.823601141803199,0.08333333333333333,0.0,112.25,-0.013888888888888888,1
mississippi-state,16.04159313707478,8.02079656853739,-1.2307692307692308,0.0,68.15384615384616,-0.01775147928994083,1
arkansas,-12.472561528443316,6.236280764221658,-15.416666666666666,0.0,-74.75,-0.020833333333333332,1
buffalo,8.624014148588746,4.312007074294373,10.153846153846153,0.0,156.07692307692307,0.0,1
kent-state,-15.905874600265586,7.952937300132793,-2.6153846153846154,0.0,-59.0,0.01183431952662722,1
miami-oh,-11.663950958062546,5.831975479031273,-4.0,0.0,-40.57142857142857,0.01020408163265306,1
ohio,-1.9671545438996407,0.9835772719498204,7.769230769230769,0.0,55.30769230769231,0.0,1
akron,-55.88090182926979,27.940450914634894,-25.75,0.0,-165.33333333333334,0.0,1
bowling-green-state,-38.136790473915056,19.068395236957528,-22.583333333333332,0.0,-80.33333333333333,0.0,1
ball-state,-3.0020448194628804,1.5010224097314402,3.4166666666666665,0.0,40.083333333333336,-0.006944444444444444,1
toledo,-15.653477020730314,7.826738510365157,-4.916666666666667,0.0,6.666666666666667,0.0,1
western-michigan,-3.390823551297432,1.695411775648716,7.153846153846154,0.0,23.46153846153846,0.0,1
central-michigan,-6.348650192716409,3.1743250963582046,2.142857142857143,0.0,59.57142857142857,0.0,1
eastern-michigan,-18.804125168861148,9.402062584430574,-1.4615384615384615,0.0,-71.76923076923077,0.01183431952662722,1
northern-illinois,-19.758045274992078,9.879022637496039,-5.333333333333333,0.0,-38.416666666666664,0.013888888888888888,1
oklahoma,17.79652174624846,14.414824957678274,31.42857142857143,-21.54800923014116,87.78571428571428,-0.5025510204081632,2
iowa-state,7.036215285781614,5.766313350721095,-5.384615384615385,10.095784210082607,16.884615384615383,-0.5059171597633136,2
oklahoma-state,16.293013827405623,8.146506913702812,5.6923076923076925,0.0,70.6923076923077,0.0,1
texas,24.294958667853194,10.182293219845462,31.884615384615383,-18.793070167526153,101.61538461538461,-0.5059171597633136,2
texas-christian,13.425759501934497,6.712879750967248,3.9166666666666665,0.0,65.25,0.0,1
west-virginia,5.102437138132558,4.980201185336022,18.875,-21.54800923014116,83.66666666666666,-0.5,2
kansas-state,-0.6148338861468757,6.945404984061528,2.115384615384615,-0.7142387377459535,-27.076923076923077,-0.5059171597633136,2
texas-tech,-16.06427341531882,0.4638527438359932,1.0833333333333333,-21.54800923014116,71.29166666666667,-0.5,2
baylor,18.286734170141965,9.143367085070983,13.857142857142858,0.0,23.571428571428573,-0.01020408163265306,1
kansas,-20.107269560420974,7.046953465641544,-13.791666666666668,-3.267345492908294,-43.166666666666664,-0.5069444444444444,2
ohio-state,59.15856767683899,29.579283838419496,33.142857142857146,0.0,163.28571428571428,-0.01020408163265306,1
indiana,10.594207372839506,5.297103686419753,7.384615384615385,0.0,-8.0,-0.00591715976331361,1
penn-state,36.17658845831039,18.088294229155196,19.76923076923077,0.0,96.6923076923077,-0.01183431952662722,1
maryland,-1.8777190389862053,0.9388595194931026,-9.416666666666666,0.0,-9.0,0.0,1
michigan,29.254435354362094,14.627217677181047,11.0,0.0,28.53846153846154,-0.01183431952662722,1
rutgers,-20.194230815591403,10.097115407795702,-23.416666666666668,0.0,-67.83333333333333,-0.013888888888888888,1
michigan-state,12.27289733075473,6.136448665377365,-0.15384615384615385,0.0,13.538461538461538,-0.01183431952662722,1
northwestern,1.5947236888030738,0.7973618444015369,-7.25,0.0,42.75,-0.013888888888888888,1
iowa,20.891976409472193,10.445988204736096,11.76923076923077,0.0,24.76923076923077,-0.01183431952662722,1
wisconsin,37.66139184833412,18.83069592416706,17.142857142857142,0.0,132.42857142857142,-0.01020408163265306,1
minnesota,20.72214550541201,10.361072752706004,11.538461538461538,0.0,56.30769230769231,-0.01183431952662722,1
nebraska,9.208617355015855,4.604308677507928,0.25,0.0,15.833333333333334,-0.013888888888888888,1
purdue,-5.644303912895332,2.822151956447666,-4.75,0.0,-109.0,-0.013888888888888888,1
illinois,-4.210035743199328,2.105017871599664,0.5384615384615384,0.0,-52.15384615384615,-0.01183431952662722,1
clemson,45.56105419140662,23.02946859487002,27.2,2.3373500141183263,136.13333333333333,0.4955555555555556,2
notre-dame,22.124953444035317,13.229368376016488,16.423076923076923,-0.24785630130149863,62.730769230769226,-0.5059171597633136,2
