Team,Strength,StandardDeviation,PointsMargin,AverageOpponentStrength,RushingYardsMargin,HomeFieldCorrection,GamesPlayed
florida,35.01196390923778,11.485987788708572,12.88888888888889,19.58002257303306,41.0,-0.2222222222222222,9
tennessee,33.31028335614222,9.32831535594687,6.9,30.054495234609977,-29.2,-0.3,10
georgia,28.771022192666916,8.885044147119567,-1.4,25.575569037602545,54.9,0.0,10
kentucky,24.614905640392948,11.784481076494215,-4.1,27.941234978913712,18.8,-0.2,10
south-carolina,14.606428594315584,6.388904560167333,-3.1,25.445646564349026,-82.9,-0.2,10
vanderbilt,23.142956590438526,8.496900145714314,-2.1,25.589727232048396,-13.7,0.2,10
missouri,21.433754655313795,8.476535352395361,2.1,23.046719496775356,-34.8,-0.2,10
alabama,78.8794614225221,19.849917331818357,29.0,34.676684225727946,186.4,-0.1,10
louisiana-state,55.69457075672399,15.461075061229511,13.555555555555555,33.89998859116172,119.66666666666667,-0.4444444444444444,9
auburn,57.44731055424055,18.648811956505693,16.3,29.71430406528752,155.7,-0.4,10
texas-am,44.356018678414145,14.961058381152478,14.1,28.061136204698368,31.0,-0.1,10
arkansas,24.666306361037336,7.3403363018337995,-1.1,32.69658306109728,-58.9,-0.5,10
mississippi-state,31.305657898439605,8.83857006851054,-3.8,30.33442238225254,57.0,0.0,10
mississippi,32.500764965583045,10.241282262548369,3.9,36.472124099620025,-79.7,-0.3,10
washington,51.0702462541683,14.629511043837388,26.9,19.51262247074031,65.2,-0.2,10
washington-state,39.72066179962789,16.64335292639548,20.0,19.172997031020667,16.1,-0.2,10
stanford,40.45838233717644,10.903031989946834,3.7,33.93749397058866,33.7,0.0,10
california,13.28820845720848,6.885239001101347,-7.8,31.293744244943547,-126.7,0.1,10
oregon-state,18.354523086746724,10.182422383089053,-8.7,31.26492916506617,-50.3,0.0,10
oregon,21.56583999934448,7.358350061698781,-6.4,29.89586946370457,-13.5,-0.2,10
colorado,51.12951984638827,17.787837990999716,17.3,27.252025441219764,73.8,0.1,10
southern-california,48.45517060844026,12.966525128618471,8.9,34.68169977475984,63.0,-0.1,10
utah,37.80986875787512,10.870782808841485,8.2,21.80848015947805,93.2,0.0,10
arizona-state,23.041385670139093,7.5986656739477825,-3.1,25.36771500865985,18.8,-0.2,10
ucla,28.049649163669937,7.384559485833228,1.7,32.46854944846421,-73.1,0.0,10
arizona,15.976639921233843,6.078796414937001,-15.9,31.846163393375072,14.7,-0.3,10
clemson,54.6934346258497,15.029122869047866,20.5,33.135163951124206,22.2,-0.2,10
louisville,67.91892505300953,19.398816840740484,29.3,24.6149302835693,167.3,0.0,10
florida-state,43.82387010804944,11.589063914107333,8.1,32.6249640628456,41.8,-0.1,10
north-carolina-state,34.619960875523994,9.420780506004501,3.8,27.367701854080096,50.8,-0.2,10
wake-forest,26.64975592261849,10.599533812012888,-0.6,27.04049120699625,2.5,0.0,10
boston-college,19.214046532847405,8.252029066889042,-9.9,26.383446387138704,37.4,-0.1,10
syracuse,12.236453742339144,7.65641276975632,-10.9,30.299889351249913,-80.8,-0.1,10
