Team,Strength,StandardDeviation,PointsMargin,AverageOpponentStrength,RushingYardsMargin,HomeFieldCorrection,GamesPlayed
Cincinnati,55.98853206973063,19.970456576813017,25.8375,25.99320385917999,12.25,-0.1275,8
EastCarolina,30.715765903513603,10.117499137560676,-0.4027777777777778,27.338827053549764,-3.4444444444444446,0.12654320987654322,8
SouthFlorida,20.21320618503576,8.20374070752759,-9.472222222222221,27.396396945360763,-7.888888888888889,-0.12345679012345678,8
Temple,15.309069237238454,6.9542455779069785,-12.535714285714285,24.955389267853956,-8.607142857142858,0.12755102040816327,8
UCF,35.93139967885151,13.635183403864062,4.75,27.888823583263946,2.2625,-0.1225,8
Houston,39.65872960756385,12.720898812446682,16.375,19.93439296243165,-3.046875,-0.125,8
Memphis,27.064539805677107,8.88879148477483,2.6767676767676765,22.066077615878616,0.0606060606060606,-0.0009182736455463728,9
Navy,22.82451901751247,6.950254288958579,-13.9625,34.37206792299753,-3.3875,-0.375,8
SouthernMethodist,39.025567741203474,12.457421118425657,18.4625,18.717297613706222,-0.475,-0.1225,8
Tulane,27.325847667275543,14.288381358967886,-8.302083333333334,31.312384184216654,9.0625,0.1267361111111111,8
Tulsa,25.331663010640874,8.408212669799868,-5.430555555555555,26.9861362352585,2.236111111111111,-0.12037037037037038,8
BostonCollege,32.23210297313281,12.288678114270464,6.681818181818182,22.244024490911162,-8.704545454545455,0.12396694214876033,8
Clemson,44.70945817426148,16.99514651629544,7.666666666666666,33.622075876087195,5.145833333333333,-0.125,8
FloridaState,31.268915563994327,8.318814533711274,2.9722222222222223,26.667165367480738,0.013888888888888888,-0.3765432098765432,8
Louisville,37.97246646993074,11.707081293309875,4.488636363636363,30.582442228549514,2.4886363636363638,-0.12603305785123967,8
NorthCarolinaState,41.3649153883562,12.588534852537743,13.510416666666666,25.331463363970094,-6.239583333333333,-0.125,8
Syracuse,34.2623322882908,10.196233599753826,3.5656565656565657,29.172504432386905,-13.02020202020202,-0.22314049586776863,9
WakeForest,44.929624698805554,13.404402294207987,15.152777777777779,26.530269486756772,-2.111111111111111,-0.12345679012345678,8
Duke,18.928681407399974,8.318891792319754,-5.659090909090909,22.478445790328497,-7.181818181818182,-0.12396694214876033,8
GeorgiaTech,31.76841770167651,10.628527869176153,-0.48750000000000004,29.24414332412731,0.2,-0.1275,8
MiamiFL,39.398349131042295,13.198742071168972,2.75,35.30599664767816,-1.4886363636363635,-0.6239669421487604,8
NorthCarolina,38.37728361739737,14.406495721165527,8.53125,27.199875748748997,10.197916666666666,-0.375,8
Pittsburgh,51.84178945677613,17.204878237677818,23.056818181818183,25.89344795650263,3.4318181818181817,-0.12603305785123967,8
Virginia,40.93735748615169,13.84267742907603,10.122222222222222,28.425649287978413,2.611111111111111,-0.22444444444444445,9
VirginiaTech,33.28810733277286,12.904855682152442,0.375,30.835570249212296,6.988636363636363,-0.6260330578512396,8
Indiana,38.63585586086666,16.733199278890634,-8.171875,40.468653602214886,-3.625,-0.12109375,8
Maryland,39.787867275138105,16.561834178001934,-2.55,36.291890337844904,-10.35,-0.12,8
Michigan,60.13625955508877,20.013059373768378,19.729166666666668,35.34745117033802,-5.875,-0.375,8
MichiganState,50.423188173068375,17.008060597783047,11.482142857142858,30.953129613604503,-8.142857142857142,0.12244897959183673,8
OhioState,69.1698148780224,23.018867254035445,28.78125,31.53627972527832,19.890625,-0.12109375,8
PennState,51.38053374043906,20.555754903213867,10.88888888888889,34.368546101386514,5.583333333333333,-0.3734567901234568,8
Rutgers,40.55953995787818,14.984020863842867,0.6944444444444444,34.044897400425675,-8.208333333333334,-0.12345679012345678,8
Illinois,36.402247024012574,12.653546811757172,-6.75,37.56252021661862,-3.638888888888889,-0.21875,9
Iowa,55.39936584347254,22.7109370626623,13.71875,35.46851628383863,7.921875,-0.375,8
Minnesota,47.592596929738775,16.685873523881316,5.767857142857143,36.48766302642247,-1.9107142857142858,-0.37244897959183676,8
Nebraska,52.63875631590699,17.70893543256811,9.416666666666666,36.06570021159703,3.513888888888889,0.003472222222222222,9
Northwestern,35.00474153015585,14.029993787452517,-3.6527777777777777,31.535591226726766,2.111111111111111,-0.12345679012345678,8
Purdue,45.81127273382058,15.376655096827648,4.791666666666667,34.949991970654175,-8.020833333333334,-0.13194444444444445,8
Wisconsin,48.9209296964847,18.89367753458293,3.3392857142857144,39.398085717130144,8.553571428571429,-0.3673469387755102,8
Baylor,44.2551071074088,14.02904782687006,17.26388888888889,23.8434477273571,-11.26388888888889,-0.12345679012345678,8
IowaState,45.04974962225149,14.35211834315104,14.8125,25.73972032847735,11.46875,-0.125,8
Kansas,7.7314363122937575,2.0687907397124943,-25.27777777777778,30.057621300074935,-16.416666666666668,-0.12345679012345678,8
KansasState,34.60793705859229,11.282434810749775,1.425,30.681533953153075,-3.0625,-0.375,8
Oklahoma,48.877723557003485,18.622941616091993,17.58585858585859,28.400601170297584,8.191919191919192,-0.22314049586776863,9
OklahomaState,39.624358549050314,11.39102949988598,4.840909090909091,30.584267329850807,3.397727272727273,-0.12396694214876033,8
TCU,37.26376298201043,13.634214504651347,3.2,30.728493943494062,10.9125,-0.3775,8
Texas,46.884916440166,16.71666840693173,12.275,31.216734955792983,6.825,-0.375,8
TexasTech,30.754313189681913,10.326995799739889,2.3777777777777778,25.077664134500626,-2.5555555555555554,-0.0022222222222222222,9
WestVirginia,41.09898021489253,15.919628173489734,6.625,30.285081873194542,0.4125,0.125,8
Charlotte,17.95455613341203,7.5139234579551175,-1.4375,19.048880866929316,-7.375,-0.11805555555555555,8
FloridaAtlantic,32.950581596558116,10.280553196138026,8.555555555555555,22.2470233979615,3.2083333333333335,0.12654320987654322,8
FloridaInternational,10.399441053446052,4.965126179804761,-9.875,20.69832756031527,-9.925,-0.13,8
Marshall,37.37403160285933,13.536437861332917,14.4375,19.763291208321426,10.35,0.1225,8
MiddleTennessee,23.647144945522736,7.211053758639543,-0.8194444444444444,22.059880894989806,-10.805555555555555,0.37962962962962965,8
OldDominion,20.694956272165868,8.931087474431376,-7.25,27.44495627216587,0.0,0.125,8
WesternKentucky,33.33402057144529,10.615725312507097,5.208333333333333,25.986372217660264,-5.739583333333333,0.1267361111111111,8
LouisianaTech,19.63661873301638,6.897063396542437,-6.625,25.18416932573974,-12.3625,-0.1225,8
NorthTexas,14.420652783258442,5.267107885566864,-11.55,25.669207417033185,-4.75,-0.1275,8
Rice,14.469261369288063,5.383152977962892,-15.3,27.913101577154883,-2.5,0.13,8
SouthernMiss,9.154079150572178,6.295698324770992,-14.5,22.804472488061364,-2.775,-0.13,8
UAB,32.86114923698857,12.292082955195637,5.666666666666667,23.78067350296838,6.901234567901235,0.22359396433470508,9
UTEP,19.568838409613377,5.747856000407875,3.75,15.314288737551482,-0.265625,-0.12109375,8
UTSA,40.63140856821442,13.020251013998763,18.62037037037037,19.872598911773693,5.9259259259259265,0.0,9
Army,39.05235427197999,14.488997310201329,7.489583333333333,27.913006321719905,19.770833333333332,-0.1267361111111111,8
BrighamYoung,38.751468133442074,14.026878141920074,6.240740740740741,29.465715236303215,7.833333333333333,-0.0015432098765432098,9
Connecticut,0.9785802218210767,3.3791473617314294,-17.8,19.178580221821075,0.0,-0.1,10
Liberty,38.19858975929796,13.894880175673935,16.626262626262626,18.803538274167057,13.404040404040405,0.22130394857667585,9
Massachusetts,0.3385843946026513,7.127681091034755,-30.28125,29.37380920711208,-25.75,-0.09375,8
NewMexicoState,6.918374384031635,3.3579483988730416,-12.777777777777779,18.80726327292052,0.0,0.2222222222222222,9
NotreDame,49.403257929278055,15.634415970488128,8.59375,36.91247306158708,12.260416666666666,-0.125,8
Akron,15.531419609836435,4.760847204027677,-17.574074074074073,28.917927392092796,-11.851851851851853,0.0,9
BowlingGreen,18.10339637256721,8.181680834904771,-12.066666666666666,26.073306626603028,-14.022222222222222,0.0044444444444444444,9
Buffalo,38.10077159376471,18.95168582008672,6.396825396825396,26.264778536829567,14.49206349206349,0.0022675736961451243,9
KentState,32.618344271079685,14.16184480491247,-2.4722222222222223,30.330147340175813,2.3333333333333335,0.2222222222222222,9
MiamiOH,37.787755608152,13.599807020854282,1.5555555555555556,29.629217702204787,0.1111111111111111,0.23456790123456792,9
Ohio,21.544530862931087,6.9115783370452,-6.925925925925926,25.372960751809195,2.5555555555555554,-0.012345679012345678,9
BallState,35.34396241009628,12.704138101456174,-2.0555555555555554,30.867750290316497,4.638888888888889,0.003472222222222222,9
CentralMichigan,32.1015600044982,15.381419020315967,0.6851851851851852,24.684028614600415,9.74074074074074,0.0,9
EasternMichigan,32.99876048242207,10.886630642249383,6.685185185185185,21.12122448648006,-13.037037037037036,0.0,9
NorthernIllinois,31.104802909491116,10.469434364837017,-3.092592592592593,27.88212651593509,-5.222222222222222,0.0,9
Toledo,41.12870298343719,15.136275595767268,10.296296296296298,25.285561326590305,4.333333333333333,0.0,9
WesternMichigan,40.759603982692276,14.663864529791976,2.388888888888889,32.625041618110984,4.277777777777778,0.0,9
AirForce,39.93374287809434,13.087082755165921,12.148148148148147,23.66912250716802,18.796296296296294,-0.2222222222222222,9
