Division,Score
Big 12 Conference - South,31.6
Pacific-10 Conference,30.8
Big East Conference,30.8
Southeastern Conference - East,30.5
Southeastern Conference - West,28.3
Big Ten Conference,25.9
Big 12 Conference - North,24.9
Atlantic Coast Conference - Atlantic,23.0
Mountain West Conference,19.2
Atlantic Coast Conference - Coastal,17.8
Independent,15.1
Western Athletic Conference,14.1
Conference USA - West,12.0
Conference USA - East,11.0
Mid-American Conference - East,7.5
Sun Belt Conference,6.6
Mid-American Conference - West,5.7
FCS,0.2
