Division,Score
Pacific-10 Conference,32.4
Big East Conference,32.2
Southeastern Conference - East,32.0
Southeastern Conference - West,31.9
Big 12 Conference - South,31.0
Big 12 Conference - North,30.6
Big Ten Conference,27.6
Atlantic Coast Conference - Atlantic,25.7
Mountain West Conference,23.3
Atlantic Coast Conference - Coastal,22.3
Western Athletic Conference,18.3
Independent,17.6
Conference USA - East,14.3
Conference USA - West,12.0
Sun Belt Conference,9.4
Mid-American Conference - West,8.7
Mid-American Conference - East,7.3
FCS,1.4
