Conference,Score
Southeastern Conference,31.1
Big East Conference,30.9
Pacific-10 Conference,30.3
Big 12 Conference,29.0
Big Ten Conference,27.1
Atlantic Coast Conference,23.4
Mountain West Conference,23.0
Independent,16.9
Western Athletic Conference,16.7
Conference USA,13.7
Sun Belt Conference,9.8
Mid-American Conference,7.5
FCS,1.2
