Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
georgia,18,20,2,39.2,11.3,8.8
tennessee,39,49,10,30.4,4.2,8.3
florida,14,16,2,42.2,23.3,13.6
kentucky,34,39,5,31.5,5.9,9.2
south-carolina,55,48,-7,24.5,-2.4,7.9
vanderbilt,61,53,-8,23.1,-2.3,3.8
louisiana-state,4,3,-1,61.0,34.0,16.9
auburn,17,15,-2,39.8,16.6,9.6
arkansas,16,22,6,40.4,20.4,11.7
mississippi-state,59,59,0,23.4,-1.8,5.7
alabama,30,19,-11,35.5,12.4,9.4
mississippi,85,87,2,11.2,-13.8,4.6
southern-california,9,10,1,47.0,22.6,13.1
arizona-state,7,5,-2,54.4,25.5,10.2
oregon-state,31,27,-4,32.4,14.9,9.1
oregon,1,1,0,64.8,39.0,13.5
ucla,44,38,-6,29.2,9.0,10.5
arizona,67,67,0,19.5,0.3,6.0
california,20,21,1,38.6,17.4,11.2
washington-state,73,65,-8,17.0,-1.1,6.0
stanford,76,69,-7,14.4,-7.7,8.3
washington,65,72,7,20.2,7.2,11.1
west-virginia,5,4,-1,60.0,34.7,15.0
connecticut,15,18,3,40.9,7.9,7.1
cincinnati,13,14,1,43.6,17.8,11.8
south-florida,21,13,-8,38.1,16.6,10.1
rutgers,49,40,-9,27.4,5.7,12.6
louisville,53,57,4,25.1,1.4,13.5
pittsburgh,72,71,-1,17.4,-7.6,6.3
syracuse,105,108,3,5.2,-28.2,8.3
kansas,2,2,0,62.4,28.5,11.2
missouri,8,11,3,49.0,18.5,8.4
colorado,57,46,-11,24.2,3.1,7.7
kansas-state,38,24,-14,30.6,11.5,8.3
nebraska,74,77,3,14.6,-11.1,18.0
iowa-state,95,107,12,8.6,-15.0,6.8
oklahoma,6,7,1,58.7,31.0,16.2
texas,12,17,5,43.8,16.1,10.2
texas-tech,42,51,9,29.7,1.0,8.3
oklahoma-state,35,29,-6,31.1,12.6,8.1
texas-am,40,37,-3,30.1,7.4,8.2
baylor,101,100,-1,6.6,-26.7,7.4
boston-college,24,12,-12,37.7,3.7,10.1
clemson,23,31,8,38.0,9.6,7.9
wake-forest,48,45,-3,27.5,-0.5,8.4
florida-state,41,50,9,29.8,3.2,7.9
maryland,69,61,-8,19.1,-3.9,6.7
north-carolina-state,81,83,2,13.3,-16.4,5.8
virginia-tech,22,36,14,38.1,9.7,6.6
virginia,37,43,6,30.7,-2.3,8.2
georgia-tech,45,33,-12,29.2,8.9,12.7
north-carolina,80,84,4,13.5,-10.1,5.6
miami-fl,60,55,-5,23.2,-2.1,8.7
duke,107,105,-2,4.9,-24.0,7.7
ohio-state,3,6,3,61.1,26.1,12.0
illinois,26,35,9,37.6,13.2,9.0
michigan,27,26,-1,37.3,7.0,7.7
wisconsin,32,32,0,31.9,4.3,9.0
penn-state,19,25,6,38.9,15.3,10.3
iowa,68,68,0,19.5,-6.3,9.7
purdue,43,41,-2,29.2,0.2,6.9
indiana,62,63,1,22.5,-5.8,9.2
michigan-state,54,54,0,24.5,3.8,7.7
northwestern,79,78,-1,13.5,-18.2,6.2
minnesota,111,109,-2,4.0,-26.6,9.8
brigham-young,28,28,0,36.1,9.0,9.6
air-force,29,34,5,36.0,10.7,8.2
new-mexico,47,30,-17,27.9,0.2,7.8
utah,33,42,9,31.7,6.2,6.5
texas-christian,50,62,12,26.1,3.2,10.0
san-diego-state,77,82,5,14.1,-11.3,4.9
wyoming,56,52,-4,24.4,0.0,7.6
colorado-state,96,96,0,8.1,-10.0,6.4
nevada-las-vegas,91,89,-2,10.1,-12.3,6.2
hawaii,11,8,-3,44.8,8.5,8.8
boise-state,10,9,-1,46.7,15.5,11.9
fresno-state,51,58,7,26.0,-2.9,4.7
nevada,70,74,4,18.1,-11.6,4.9
louisiana-tech,71,73,2,17.8,-6.6,4.7
san-jose-state,100,98,-2,7.1,-26.7,7.8
utah-state,114,115,1,3.5,-22.5,7.5
new-mexico-state,87,80,-7,10.6,-20.5,5.5
idaho,109,110,1,4.1,-26.0,6.8
navy,63,60,-3,22.1,-4.1,8.9
