Conference,Score
Big East Conference,30.8
Southeastern Conference,29.2
Pacific-10 Conference,27.9
Big 12 Conference,27.6
Big Ten Conference,25.6
Atlantic Coast Conference,24.8
Mountain West Conference,23.5
Independent,23.4
Western Athletic Conference,19.0
Conference USA,18.4
Sun Belt Conference,14.9
Mid-American Conference,13.6
FCS,6.3
