Division,Score
Southeastern Conference - West,35.8
Pacific-10 Conference,34.5
Big 12 Conference - South,33.3
Big East Conference,33.1
Southeastern Conference - East,32.6
Big 12 Conference - North,31.9
Big Ten Conference,28.9
Atlantic Coast Conference - Atlantic,28.3
Mountain West Conference,24.2
Atlantic Coast Conference - Coastal,24.0
Western Athletic Conference,20.0
Independent,17.9
Conference USA - West,13.7
Conference USA - East,13.4
Sun Belt Conference,9.9
Mid-American Conference - West,8.8
Mid-American Conference - East,8.1
FCS,1.7
