Division,Score
Southeastern Conference - West,31.7
Southeastern Conference - East,31.5
Big 12 Conference - South,31.0
Pacific-10 Conference,30.8
Big East Conference,29.4
Big 12 Conference - North,27.8
Big Ten Conference,27.3
Atlantic Coast Conference - Atlantic,24.7
Mountain West Conference,23.1
Atlantic Coast Conference - Coastal,20.7
Western Athletic Conference,17.3
Independent,16.8
Conference USA - East,15.1
Conference USA - West,11.4
Sun Belt Conference,9.7
Mid-American Conference - West,8.8
Mid-American Conference - East,6.7
FCS,1.2
