Division,Score
Southeastern Conference - West,31.5
Southeastern Conference - East,31.3
Big 12 Conference - South,30.5
Big East Conference,30.4
Pacific-10 Conference,29.5
Big 12 Conference - North,27.6
Big Ten Conference,27.3
Atlantic Coast Conference - Atlantic,25.4
Mountain West Conference,23.0
Atlantic Coast Conference - Coastal,21.4
Independent,16.8
Western Athletic Conference,16.4
Conference USA - East,15.1
Conference USA - West,11.2
Sun Belt Conference,9.8
Mid-American Conference - West,8.8
Mid-American Conference - East,6.7
FCS,1.1
