Division,Score
Pacific-10 Conference,31.8
Southeastern Conference - East,31.5
Southeastern Conference - West,31.4
Big 12 Conference - South,30.6
Big East Conference,30.5
Big 12 Conference - North,28.4
Big Ten Conference,26.7
Atlantic Coast Conference - Atlantic,25.1
Mountain West Conference,23.5
Atlantic Coast Conference - Coastal,20.7
Independent,17.0
Western Athletic Conference,16.9
Conference USA - East,15.6
Conference USA - West,12.3
Sun Belt Conference,9.8
Mid-American Conference - West,8.6
Mid-American Conference - East,6.1
FCS,1.2
