Conference,Score
Big East Conference,41.6
Pacific-10 Conference,39.4
Southeastern Conference,38.6
Big 12 Conference,37.7
Big Ten Conference,36.3
Atlantic Coast Conference,28.4
Mountain West Conference,25.7
Independent,23.5
Western Athletic Conference,20.7
Conference USA,18.6
Mid-American Conference,15.2
Sun Belt Conference,13.4
FCS,2.7
