Division,Score
Southeastern Conference - East,33.0
Pacific-10 Conference,32.5
Big East Conference,32.2
Big 12 Conference - South,32.0
Southeastern Conference - West,31.0
Big 12 Conference - North,29.7
Big Ten Conference,27.5
Atlantic Coast Conference - Atlantic,25.1
Atlantic Coast Conference - Coastal,21.7
Mountain West Conference,20.5
Western Athletic Conference,16.9
Independent,15.7
Conference USA - West,13.5
Conference USA - East,13.0
Mid-American Conference - East,8.5
Mid-American Conference - West,8.1
Sun Belt Conference,7.8
FCS,0.8
