Division,Score
Big East Conference,36.1
Southeastern Conference - West,34.9
Pacific-10 Conference,33.8
Southeastern Conference - East,33.2
Big 12 Conference - South,32.4
Big 12 Conference - North,30.6
Big Ten Conference,30.2
Atlantic Coast Conference - Atlantic,27.0
Atlantic Coast Conference - Coastal,26.4
Mountain West Conference,25.8
Western Athletic Conference,21.3
Conference USA - East,18.1
Conference USA - West,16.6
Mid-American Conference - East,16.0
Independent,15.1
Sun Belt Conference,13.0
Mid-American Conference - West,11.2
FCS,2.2
