Division,Score
Pacific-10 Conference,34.9
Southeastern Conference - West,34.7
Southeastern Conference - East,34.2
Big East Conference,34.1
Big 12 Conference - South,33.2
Big 12 Conference - North,32.5
Big Ten Conference,29.8
Atlantic Coast Conference - Atlantic,27.9
Mountain West Conference,25.0
Atlantic Coast Conference - Coastal,24.2
Western Athletic Conference,20.2
Independent,17.1
Conference USA - East,14.8
Conference USA - West,13.9
Sun Belt Conference,10.2
Mid-American Conference - West,9.5
Mid-American Conference - East,8.5
FCS,1.8
