Division,Score
Big 12 Conference - South,32.2
Southeastern Conference - East,31.7
Big East Conference,31.7
Southeastern Conference - West,30.7
Pacific-10 Conference,30.5
Big 12 Conference - North,28.6
Big Ten Conference,27.1
Atlantic Coast Conference - Atlantic,23.4
Atlantic Coast Conference - Coastal,22.1
Mountain West Conference,21.4
Western Athletic Conference,16.3
Independent,15.2
Conference USA - West,12.4
Conference USA - East,11.4
Sun Belt Conference,8.2
Mid-American Conference - West,8.1
Mid-American Conference - East,7.7
FCS,0.8
