Division,Score
Southeastern Conference - East,31.4
Big East Conference,31.3
Pacific-10 Conference,31.1
Southeastern Conference - West,31.0
Big 12 Conference - South,30.4
Big 12 Conference - North,28.0
Big Ten Conference,27.4
Atlantic Coast Conference - Atlantic,25.4
Mountain West Conference,23.3
Atlantic Coast Conference - Coastal,21.6
Western Athletic Conference,18.2
Independent,17.2
Conference USA - East,15.3
Conference USA - West,11.6
Sun Belt Conference,9.7
Mid-American Conference - West,8.8
Mid-American Conference - East,6.8
FCS,1.2
