Conference,Score
Pacific-10 Conference,33.7
Southeastern Conference,33.5
Big 12 Conference,32.5
Big East Conference,32.2
Big Ten Conference,29.1
Atlantic Coast Conference,25.4
Mountain West Conference,23.8
Western Athletic Conference,19.9
Independent,17.5
Conference USA,13.8
Sun Belt Conference,9.3
Mid-American Conference,8.3
FCS,1.6
