Division,Score
Southeastern Conference - East,31.2
Big East Conference,30.9
Southeastern Conference - West,30.9
Pacific-10 Conference,30.3
Big 12 Conference - South,30.2
Big 12 Conference - North,27.7
Big Ten Conference,27.1
Atlantic Coast Conference - Atlantic,25.4
Mountain West Conference,23.0
Atlantic Coast Conference - Coastal,21.5
Independent,16.9
Western Athletic Conference,16.7
Conference USA - East,15.8
Conference USA - West,11.7
Sun Belt Conference,9.8
Mid-American Conference - West,8.6
Mid-American Conference - East,6.6
FCS,1.2
