Division,Score
Big East Conference,30.8
Southeastern Conference - West,29.4
Big 12 Conference - South,29.4
Southeastern Conference - East,29.0
Pacific-10 Conference,27.9
Atlantic Coast Conference - Atlantic,26.8
Big 12 Conference - North,25.8
Big Ten Conference,25.6
Mountain West Conference,23.5
Independent,23.4
Atlantic Coast Conference - Coastal,22.9
Western Athletic Conference,19.0
Conference USA - East,18.7
Conference USA - West,18.1
Mid-American Conference - West,16.9
Sun Belt Conference,14.9
Mid-American Conference - East,10.8
FCS,6.3
