Division,Score
Big East Conference,34.0
Big 12 Conference - South,33.5
Pacific-10 Conference,33.3
Southeastern Conference - West,33.0
Southeastern Conference - East,32.7
Big Ten Conference,29.9
Big 12 Conference - North,27.2
Atlantic Coast Conference - Atlantic,25.7
Mountain West Conference,20.0
Atlantic Coast Conference - Coastal,19.3
Independent,17.8
Western Athletic Conference,15.7
Conference USA - West,13.4
Conference USA - East,13.4
Mid-American Conference - East,11.8
Sun Belt Conference,9.3
Mid-American Conference - West,8.2
FCS,1.2
