Division,Score
Southeastern Conference - West,35.2
Pacific-10 Conference,33.7
Big 12 Conference - South,33.3
Big East Conference,32.2
Southeastern Conference - East,31.8
Big 12 Conference - North,31.6
Big Ten Conference,29.1
Atlantic Coast Conference - Atlantic,27.6
Mountain West Conference,23.8
Atlantic Coast Conference - Coastal,23.3
Western Athletic Conference,19.9
Independent,17.5
Conference USA - East,14.2
Conference USA - West,13.5
Sun Belt Conference,9.3
Mid-American Conference - West,8.6
Mid-American Conference - East,8.0
FCS,1.6
