Conference,Score
Pacific-10 Conference,30.8
Big East Conference,30.8
Southeastern Conference,29.4
Big 12 Conference,28.3
Big Ten Conference,25.9
Atlantic Coast Conference,20.4
Mountain West Conference,19.2
Independent,15.1
Western Athletic Conference,14.1
Conference USA,11.5
Mid-American Conference,6.7
Sun Belt Conference,6.6
FCS,0.2
