Division,Score
Southeastern Conference - West,34.9
Big East Conference,34.1
Big 12 Conference - South,33.8
Pacific-10 Conference,33.2
Southeastern Conference - East,33.0
Big 12 Conference - North,31.8
Big Ten Conference,30.2
Atlantic Coast Conference - Atlantic,26.4
Atlantic Coast Conference - Coastal,23.8
Mountain West Conference,23.0
Western Athletic Conference,18.4
Independent,18.4
Conference USA - West,14.6
Conference USA - East,13.5
Mid-American Conference - East,10.0
Mid-American Conference - West,9.6
Sun Belt Conference,9.2
FCS,1.4
