Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
georgia,34,31,-3,32.1,20.8,9.0
tennessee,49,33,-16,26.5,18.9,7.1
florida,9,11,2,45.3,41.5,14.1
kentucky,22,15,-7,36.1,24.4,8.4
south-carolina,43,27,-16,28.8,13.5,6.5
vanderbilt,60,68,8,22.3,11.1,2.4
louisiana-state,1,1,0,59.4,49.4,18.3
auburn,20,16,-4,37.2,34.0,9.7
arkansas,30,43,13,34.2,33.0,12.0
mississippi-state,63,61,-2,19.4,9.0,5.3
alabama,23,36,13,35.8,24.0,9.4
mississippi,87,85,-2,10.1,0.6,1.2
southern-california,8,12,4,46.1,33.6,13.8
arizona-state,7,6,-1,52.6,34.6,11.0
oregon-state,35,32,-3,31.3,27.6,9.5
oregon,2,7,5,56.9,48.5,14.4
ucla,19,26,7,37.3,28.9,9.9
arizona,76,72,-4,14.0,12.2,4.8
california,17,10,-7,39.4,32.1,11.5
washington-state,78,83,5,12.5,4.6,5.1
stanford,70,75,5,16.7,6.9,8.4
washington,71,65,-6,16.3,15.1,9.9
west-virginia,3,4,1,56.8,48.3,16.2
connecticut,21,30,9,36.4,20.3,6.6
cincinnati,14,9,-5,40.0,30.2,11.9
south-florida,10,8,-2,44.8,31.9,10.1
rutgers,25,28,3,35.8,26.6,11.9
louisville,54,48,-6,24.2,18.6,12.7
pittsburgh,65,77,12,18.0,9.9,4.6
syracuse,106,113,7,5.3,-13.7,6.1
kansas,5,5,0,54.4,36.7,12.2
missouri,11,18,7,43.1,29.6,7.7
colorado,59,50,-9,23.4,17.1,8.0
kansas-state,39,23,-16,30.6,26.3,8.6
nebraska,68,64,-4,17.0,4.3,15.5
iowa-state,109,108,-1,5.0,-9.8,5.9
oklahoma,6,3,-3,53.8,42.0,16.9
texas,18,19,1,38.8,28.5,10.0
texas-tech,40,21,-19,30.2,15.6,6.7
oklahoma-state,32,39,7,33.8,28.2,8.0
texas-am,27,37,10,35.3,23.2,7.5
baylor,98,94,-4,7.7,-11.4,3.6
boston-college,12,17,5,41.1,20.5,9.3
clemson,38,53,15,31.0,19.0,7.7
wake-forest,45,54,9,27.9,14.1,7.2
florida-state,53,47,-6,24.2,14.7,6.9
maryland,56,46,-10,23.9,14.2,5.2
north-carolina-state,94,107,13,8.7,-5.9,4.2
virginia-tech,24,22,-2,35.8,19.6,5.8
virginia,31,40,9,33.8,15.3,7.7
