Division,Score
Big 12 Conference - South,33.3
Southeastern Conference - West,32.7
Big East Conference,32.7
Pacific-10 Conference,32.3
Southeastern Conference - East,31.8
Big 12 Conference - North,28.9
Big Ten Conference,28.1
Atlantic Coast Conference - Atlantic,26.1
Atlantic Coast Conference - Coastal,24.6
Mountain West Conference,22.4
Western Athletic Conference,17.5
Independent,16.8
Conference USA - West,13.0
Conference USA - East,12.2
Sun Belt Conference,9.2
Mid-American Conference - East,7.9
Mid-American Conference - West,7.9
FCS,1.1
