Division,Score
Big East Conference,41.6
Big 12 Conference - South,40.7
Pacific-10 Conference,39.4
Southeastern Conference - West,39.4
Southeastern Conference - East,37.8
Big Ten Conference,36.3
Big 12 Conference - North,34.7
Atlantic Coast Conference - Atlantic,30.1
Atlantic Coast Conference - Coastal,26.8
Mountain West Conference,25.7
Independent,23.5
Western Athletic Conference,20.7
Conference USA - East,18.8
Conference USA - West,18.4
Mid-American Conference - East,17.4
Sun Belt Conference,13.4
Mid-American Conference - West,12.7
FCS,2.7
