Division,Score
Big East Conference,31.2
Southeastern Conference - East,31.2
Pacific-10 Conference,30.9
Southeastern Conference - West,30.6
Big 12 Conference - South,29.9
Big 12 Conference - North,28.6
Big Ten Conference,26.7
Atlantic Coast Conference - Atlantic,25.3
Mountain West Conference,22.6
Atlantic Coast Conference - Coastal,20.8
Western Athletic Conference,17.6
Independent,16.2
Conference USA - East,14.3
Conference USA - West,11.7
Sun Belt Conference,9.4
Mid-American Conference - West,7.9
Mid-American Conference - East,6.7
FCS,1.1
