Conference,Score
Big East Conference,31.3
Southeastern Conference,31.2
Pacific-10 Conference,31.1
Big 12 Conference,29.2
Big Ten Conference,27.4
Atlantic Coast Conference,23.5
Mountain West Conference,23.3
Western Athletic Conference,18.2
Independent,17.2
Conference USA,13.5
Sun Belt Conference,9.7
Mid-American Conference,7.7
FCS,1.2
