Conference,Score
Big 12 Conference,32.6
Pacific-10 Conference,29.1
Big East Conference,26.9
Southeastern Conference,26.9
Big Ten Conference,26.7
Atlantic Coast Conference,25.4
Mountain West Conference,22.2
Conference USA,16.3
Mid-American Conference,15.4
Western Athletic Conference,14.7
Independent,13.5
Sun Belt Conference,8.1
FCS,1.1
