Conference,Score
Big 12 Conference,30.1
Pacific-10 Conference,27.8
Big East Conference,26.5
Big Ten Conference,24.8
Southeastern Conference,24.4
Atlantic Coast Conference,23.5
Mountain West Conference,20.1
Mid-American Conference,16.5
Conference USA,16.1
Western Athletic Conference,14.0
Independent,10.9
Sun Belt Conference,7.9
FCS,1.4
