Conference,Score
Big 12 Conference,34.2
Big East Conference,28.6
Pacific-10 Conference,28.4
Southeastern Conference,28.1
Big Ten Conference,26.6
Atlantic Coast Conference,24.4
Mountain West Conference,23.5
Conference USA,16.7
Western Athletic Conference,15.6
Mid-American Conference,15.0
Independent,14.2
Sun Belt Conference,8.2
FCS,1.1
