Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
tennessee,10,8,-2,43.9,28.0,11.5
florida,11,12,1,43.0,22.4,8.6
south-carolina,12,17,5,42.9,22.2,8.3
georgia,47,52,5,23.6,9.4,4.1
kentucky,102,97,-5,5.3,-25.5,9.0
vanderbilt,88,99,11,9.2,-16.3,6.2
louisiana-state,29,22,-7,32.7,11.2,4.6
auburn,42,19,-23,26.5,8.5,5.6
mississippi,59,59,0,20.2,2.6,2.4
alabama,51,65,14,23.3,2.9,2.4
arkansas,81,68,-13,13.3,-6.9,1.2
mississippi-state,37,14,-23,28.0,18.1,8.5
colorado,24,24,0,34.0,16.5,9.7
nebraska,3,4,1,54.2,34.4,17.7
iowa-state,25,35,10,33.7,12.7,3.4
kansas-state,2,11,9,55.5,45.4,12.6
missouri,66,73,7,19.2,0.5,6.5
kansas,89,93,4,9.2,-16.5,7.9
texas,8,7,-1,46.5,27.2,12.9
oklahoma,5,5,0,51.3,33.9,13.2
texas-am,36,54,18,28.7,2.2,7.0
texas-tech,34,41,7,30.6,8.0,3.5
oklahoma-state,77,63,-14,14.8,-3.3,2.7
baylor,68,82,14,18.2,-10.5,14.3
oregon,27,30,3,33.2,8.6,4.0
washington-state,16,15,-1,39.3,17.2,9.4
stanford,18,29,11,36.7,17.2,6.6
washington,13,25,12,42.3,25.6,6.7
southern-california,67,64,-3,18.9,6.2,1.5
ucla,21,27,6,35.1,11.3,5.7
oregon-state,46,47,1,24.0,10.2,7.9
arizona,30,44,14,32.3,7.3,3.2
arizona-state,64,43,-21,19.5,1.2,3.0
california,96,100,4,7.2,-12.5,6.4
miami-fl,6,2,-4,50.4,37.7,16.4
syracuse,43,62,19,25.0,12.2,4.5
boston-college,40,45,5,26.8,9.1,6.8
virginia-tech,4,6,2,54.0,37.8,14.5
pittsburgh,56,57,1,21.1,4.3,4.2
temple,78,71,-7,14.2,-4.7,2.5
west-virginia,69,72,3,17.8,-6.6,4.9
rutgers,99,92,-7,6.4,-23.1,9.5
illinois,22,33,11,35.0,11.2,3.7
michigan,19,38,19,36.6,26.1,8.4
ohio-state,39,21,-18,27.1,16.2,7.9
iowa,26,26,0,33.2,12.0,10.3
purdue,28,32,4,33.0,11.6,5.6
indiana,87,84,-3,9.6,-9.1,3.3
penn-state,93,80,-13,8.2,-13.2,2.1
michigan-state,38,70,32,27.1,2.8,3.5
wisconsin,44,69,25,24.9,11.8,3.2
minnesota,49,48,-1,23.5,9.2,4.6
northwestern,15,16,1,39.4,21.3,7.9
maryland,14,18,4,41.2,19.8,8.5
florida-state,20,3,-17,36.2,25.5,16.6
north-carolina,62,83,21,19.8,14.9,2.2
georgia-tech,9,10,1,44.3,24.1,8.6
clemson,50,28,-22,23.5,3.3,11.7
north-carolina-state,53,49,-4,22.2,-4.6,3.0
wake-forest,65,55,-10,19.5,-3.8,8.3
virginia,71,90,19,17.0,-8.1,7.6
duke,111,102,-9,3.1,-27.1,13.0
