Conference,Score
Big East Conference,30.1
Southeastern Conference,30.0
Big 12 Conference,28.3
Atlantic Coast Conference,26.9
Big Ten Conference,26.7
Pacific-10 Conference,25.2
Mountain West Conference,22.6
Mid-American Conference,22.0
Conference USA,21.5
Western Athletic Conference,20.9
Sun Belt Conference,15.1
Independent,15.0
FCS,3.3
