Team,Strength,StandardDeviation,PointsMargin,AverageOpponentStrength,RushingYardsMargin,HomeFieldCorrection,GamesPlayed
Cincinnati,25.4,19.6,2.3,29.7,-71.7,-0.1,7
Connecticut,9.8,23.0,-12.4,26.6,-44.6,-0.1,7
EastCarolina,40.1,29.3,16.1,17.5,83.7,-0.1,7
Houston,33.8,25.9,10.3,24.2,12.0,-0.4,7
Memphis,52.4,34.4,16.4,29.8,66.1,0.1,7
SouthernMethodist,-11.7,21.8,-41.0,44.4,-174.1,-0.1,7
SouthFlorida,10.6,25.5,-8.5,26.2,-72.5,-0.3,8
Temple,28.1,29.3,11.1,20.5,-48.6,0.1,7
Tulane,17.2,21.9,-9.4,26.3,-2.3,0.1,7
Tulsa,7.7,24.4,-16.3,28.2,-43.3,-0.1,7
UCF,32.7,22.1,6.1,28.6,-11.3,-0.3,7
BostonCollege,52.8,32.2,8.0,30.2,185.9,-0.3,8
Clemson,57.0,28.4,14.0,40.7,39.8,-0.3,8
FloridaState,44.5,22.2,16.3,31.1,-20.7,-0.3,7
Louisville,53.9,27.1,16.3,31.3,75.9,0.0,8
NorthCarolinaState,35.4,35.5,0.4,36.6,-6.8,-0.3,8
Syracuse,34.8,31.4,-2.4,33.7,47.3,-0.1,8
WakeForest,9.0,23.8,-9.9,30.9,-144.0,0.0,8
Duke,45.9,26.0,18.4,25.8,26.9,-0.1,7
GeorgiaTech,57.4,30.4,8.9,37.1,137.0,0.0,8
MiamiFL,53.0,27.0,9.1,40.4,40.9,0.0,8
NorthCarolina,31.1,20.5,-3.9,40.5,-65.0,0.0,8
Pittsburgh,44.4,25.2,5.8,33.2,76.4,-0.3,8
Virginia,43.2,32.6,5.9,33.6,68.5,-0.5,8
VirginiaTech,42.7,28.7,4.4,39.7,-5.1,-0.3,8
Indiana,33.9,25.5,-4.7,29.0,121.1,-0.1,7
Maryland,31.3,26.5,2.4,35.2,-74.9,0.0,8
Michigan,39.1,28.6,-2.8,39.3,42.5,-0.3,8
MichiganState,66.5,33.6,25.3,28.9,159.0,-0.3,8
OhioState,64.4,29.9,23.6,30.8,134.1,-0.3,7
PennState,36.3,26.5,4.1,33.4,-1.3,-0.3,7
Rutgers,32.6,31.1,-1.3,36.3,-23.6,-0.1,8
Illinois,14.0,24.4,-5.9,33.6,-152.1,-0.3,8
Iowa,29.1,24.5,5.1,24.2,4.3,-0.1,7
Minnesota,38.3,30.8,5.9,28.8,54.3,-0.3,8
Nebraska,64.0,33.5,20.8,30.2,168.5,-0.3,8
Northwestern,33.6,26.8,0.4,37.4,-30.7,-0.4,7
Purdue,27.3,36.5,-3.0,31.4,4.3,-0.4,8
Wisconsin,61.9,32.2,21.0,23.8,231.7,-0.6,7
Baylor,59.2,28.2,26.0,22.8,117.3,0.1,7
IowaState,18.2,31.9,-7.9,34.2,-91.4,-0.1,7
Kansas,13.6,25.3,-11.4,27.9,-28.1,-0.1,7
KansasState,56.6,31.5,17.6,34.2,79.0,-0.4,7
Oklahoma,64.4,37.1,16.1,42.5,69.7,0.0,7
OklahomaState,29.0,21.3,2.3,27.5,9.1,-0.4,8
TCU,61.7,36.1,28.9,27.8,80.6,-0.4,7
Texas,34.9,27.5,-3.6,40.6,-24.4,0.0,8
TexasTech,17.4,25.3,-12.1,37.6,-96.5,0.0,8
WestVirginia,49.2,34.3,11.9,36.7,12.6,-0.1,8
FloridaAtlantic,19.2,30.4,-12.1,35.7,-64.4,0.3,8
FloridaInternational,20.3,31.4,-1.5,28.5,-56.5,-0.5,8
Marshall,57.8,39.0,29.4,16.2,145.9,0.0,8
MiddleTennessee,38.2,28.1,4.1,29.3,56.1,0.0,8
OldDominion,11.8,30.1,-7.4,25.8,-79.6,0.0,8
WesternKentucky,22.7,21.6,4.4,25.9,-97.9,0.1,7
UAB,37.2,31.3,4.5,30.6,26.1,0.0,8
LouisianaTech,39.9,34.4,7.0,31.6,3.6,0.3,8
NorthTexas,18.0,29.1,-3.9,22.8,-5.3,-0.1,8
Rice,34.0,29.8,1.4,27.4,55.1,0.1,7
SouthernMiss,16.5,35.5,-13.4,39.3,-112.6,0.0,8
UTEP,23.0,27.9,-2.9,22.9,28.7,0.1,7
UTSA,17.6,19.4,-8.4,29.2,-39.3,0.0,8
Army,18.9,23.4,-9.9,16.7,143.3,0.0,7
BrighamYoung,41.7,27.9,2.6,34.4,61.1,-0.1,8
Navy,46.2,25.4,3.3,28.2,181.4,-0.1,8
NotreDame,54.8,31.7,14.3,37.1,60.9,-0.4,7
Akron,22.6,28.6,2.6,21.3,-16.4,0.0,8
BowlingGreen,14.8,17.6,-2.9,22.3,-49.0,-0.1,8
Buffalo,9.9,22.8,-2.5,14.6,-13.8,-0.3,8
KentState,0.9,25.2,-15.3,27.1,-142.9,0.3,8
Massachusetts,8.9,28.6,-4.2,20.3,-96.4,0.2,9
MiamiOH,6.5,32.0,-8.1,21.5,-87.3,0.1,9
Ohio,13.6,33.0,-7.9,21.3,3.1,0.0,9
BallState,16.4,16.1,0.3,19.0,-35.0,0.0,8
CentralMichigan,21.4,28.7,-0.2,19.7,18.0,0.1,9
EasternMichigan,-2.2,34.3,-22.9,25.3,-67.1,0.3,8
NorthernIllinois,30.7,23.0,5.4,15.8,113.6,0.0,8
Toledo,33.0,21.4,1.4,20.4,145.3,-0.3,8
WesternMichigan,29.6,47.0,6.5,19.4,32.1,0.3,8
AirForce,38.9,29.5,6.1,22.9,124.7,-0.1,7
BoiseState,50.4,28.0,7.4,36.4,85.1,-0.1,8
ColoradoState,35.5,25.0,10.1,27.4,-17.9,-0.1,8
NewMexico,19.5,26.1,-7.4,25.5,24.7,-0.1,7
UtahState,34.8,24.9,4.8,25.7,52.5,0.0,8
Wyoming,14.7,24.3,-12.1,31.4,-55.1,0.0,8
FresnoState,24.8,26.4,-7.3,33.5,-29.4,0.3,8
Hawaii,17.6,21.8,-4.6,25.2,-23.6,-0.3,8
Nevada,35.7,30.1,3.4,29.6,33.5,0.0,8
