Team,Strength,StandardDeviation,PointsMargin,AverageOpponentStrength,RushingYardsMargin,HomeFieldCorrection,GamesPlayed
Cincinnati,51.8,3.7,15.5,44.3,-47.5,-1.0,2
Connecticut,35.5,13.8,-10.5,53.5,-65.5,-0.5,4
EastCarolina,72.8,2.8,17.8,49.3,69.3,0.0,4
Houston,55.0,7.9,13.0,44.9,-10.0,-0.5,4
Memphis,91.2,3.5,25.0,56.8,128.0,-0.3,3
SouthernMethodist,19.4,20.8,-44.7,81.9,-229.3,0.3,3
SouthFlorida,37.4,15.1,-7.8,48.2,11.3,-1.0,4
Temple,67.1,5.6,27.3,44.0,-34.0,-0.3,3
Tulane,31.4,13.4,-10.8,44.8,-31.3,0.0,4
Tulsa,28.0,17.7,-22.3,58.0,-74.7,-0.3,3
UCF,49.5,4.7,1.3,48.8,-8.0,0.0,3
BostonCollege,77.8,6.9,12.3,47.7,238.0,-0.5,4
Clemson,73.9,8.7,12.0,57.4,38.0,0.3,3
FloridaState,54.8,12.9,12.3,50.2,-61.0,-0.7,3
Louisville,73.1,6.3,23.0,45.2,58.3,0.0,4
NorthCarolinaState,78.3,13.5,21.8,51.0,90.3,-0.5,4
Syracuse,55.8,13.4,8.0,35.7,160.7,-0.3,3
WakeForest,38.3,14.8,0.0,48.2,-118.3,0.0,4
Duke,61.1,2.8,32.0,24.1,82.8,-0.5,4
GeorgiaTech,71.6,3.6,10.8,52.7,97.8,0.0,4
MiamiFL,61.5,2.2,6.8,56.7,-23.0,0.0,4
NorthCarolina,38.4,5.1,0.7,44.2,-61.3,-0.3,3
Pittsburgh,80.5,11.1,21.3,41.6,210.8,0.0,4
Virginia,72.7,4.2,4.5,66.6,43.5,-0.5,4
VirginiaTech,66.8,5.4,7.3,60.5,13.0,-0.5,4
Indiana,63.4,0.5,6.3,40.3,184.3,0.3,3
Maryland,60.4,3.7,15.8,47.7,-36.0,0.0,4
Michigan,83.3,4.4,3.8,70.6,130.8,-0.5,4
MichiganState,82.8,3.5,26.0,45.4,151.7,-0.3,3
OhioState,78.9,9.9,23.0,57.2,16.0,-0.7,3
PennState,64.9,3.5,16.0,44.5,64.3,-0.3,4
Rutgers,59.7,12.2,5.0,51.5,50.0,-0.3,4
Illinois,37.1,15.5,0.3,44.3,-64.3,-0.5,4
Iowa,42.2,8.2,3.3,37.9,36.0,-0.5,4
Minnesota,57.7,5.5,6.8,47.1,69.8,-0.5,4
Nebraska,82.6,9.6,25.3,41.7,210.8,-0.5,4
Northwestern,46.7,7.2,0.7,52.0,-24.3,-1.0,3
Purdue,52.4,22.2,-1.5,57.0,-1.8,-0.8,4
Wisconsin,97.7,10.0,27.0,50.9,268.7,-0.7,3
Baylor,87.3,13.4,50.3,23.7,174.0,-0.3,3
IowaState,23.5,24.6,-7.0,42.2,-123.7,-0.3,3
Kansas,29.9,16.3,-6.0,35.9,15.0,-0.3,3
KansasState,66.0,4.7,12.3,49.1,70.0,-0.3,3
Oklahoma,98.8,11.2,28.3,60.2,123.5,0.0,4
OklahomaState,58.3,10.3,13.7,43.1,49.3,-0.7,3
TCU,70.2,4.7,28.5,38.1,91.5,-1.0,2
Texas,76.2,4.0,-2.0,79.5,-16.3,0.0,3
TexasTech,36.1,14.2,-3.3,51.4,-127.3,-0.3,3
WestVirginia,79.0,7.2,8.8,74.9,-44.0,-0.3,4
FloridaAtlantic,43.6,18.9,-15.3,68.5,-138.5,0.5,4
FloridaInternational,28.1,23.5,-4.8,43.0,-74.3,-1.0,4
Marshall,88.8,7.1,29.3,44.0,186.5,0.0,4
MiddleTennessee,64.0,2.8,6.8,54.1,38.5,0.0,4
OldDominion,54.1,16.1,4.5,49.9,-3.5,0.0,4
WesternKentucky,48.9,5.7,5.7,46.9,-59.0,0.3,3
UAB,67.8,7.0,17.3,46.6,62.7,-0.3,3
LouisianaTech,60.4,15.7,3.5,55.9,-11.3,0.5,4
NorthTexas,63.8,7.9,14.8,43.6,101.3,-0.8,4
Rice,65.2,7.9,-20.7,81.3,38.7,0.3,3
SouthernMiss,43.5,25.4,-20.5,77.1,-156.5,0.0,4
UTEP,37.7,17.7,7.0,26.2,70.0,-0.3,3
UTSA,56.1,4.5,-4.3,61.5,-28.3,0.3,3
Army,50.2,8.0,-10.0,46.9,142.7,0.3,3
BrighamYoung,86.8,10.3,18.8,59.8,110.5,-0.3,4
Navy,77.5,8.7,-0.8,66.0,133.8,0.3,4
NotreDame,95.2,8.2,26.0,66.9,58.7,-0.7,3
Akron,46.2,11.0,-2.7,57.4,-86.7,-0.3,3
BowlingGreen,39.4,5.6,-8.8,57.1,-107.3,0.0,4
Buffalo,33.4,13.0,-2.8,39.0,-10.5,-0.5,4
KentState,27.4,20.3,-26.3,66.5,-167.7,0.3,3
Massachusetts,22.8,24.1,-17.5,53.6,-158.0,0.0,4
MiamiOH,40.4,23.6,-13.3,60.6,-83.3,0.0,4
Ohio,70.8,14.6,-8.0,76.2,19.5,0.3,4
BallState,29.1,7.0,-0.5,27.2,28.0,0.0,4
CentralMichigan,28.3,19.7,-6.5,39.1,-52.3,0.0,4
EasternMichigan,37.5,29.5,-33.8,78.7,-112.5,0.5,4
NorthernIllinois,69.8,6.9,9.0,45.3,161.0,0.5,4
Toledo,48.2,4.7,-1.0,40.6,126.3,-0.5,4
WesternMichigan,86.1,24.6,11.3,59.6,165.3,0.3,3
AirForce,59.6,4.3,11.3,25.8,252.0,0.3,3
BoiseState,71.2,4.2,8.3,52.2,140.3,-0.3,4
ColoradoState,48.1,6.9,9.7,41.7,-39.7,0.0,3
NewMexico,28.4,17.7,-13.0,38.8,47.0,-0.3,3
UtahState,50.8,4.3,-1.5,45.7,78.3,0.0,4
Wyoming,41.4,12.8,-6.0,50.5,-12.8,-0.5,4
FresnoState,43.0,14.2,-16.8,63.3,-41.5,0.0,4
Hawaii,33.8,11.8,-3.8,38.1,17.3,-0.5,4
Nevada,52.0,12.2,4.3,45.0,47.7,-0.3,3
SanDiegoState,41.4,6.4,2.0,34.7,39.7,0.3,3
SanJoseState,35.5,9.4,-10.3,60.5,-191.0,0.3,3
UNLV,17.9,16.1,-22.8,53.6,-154.8,0.0,4
California,67.8,5.7,14.7,45.5,75.7,0.3,3
Oregon,80.2,10.8,27.3,47.0,95.8,-0.5,4
OregonState,47.3,7.9,14.7,31.2,32.3,-0.3,3
Stanford,69.2,6.6,25.7,45.8,20.3,-1.0,3
Washington,51.3,5.1,16.0,26.7,125.5,-0.5,4
WashingtonState,45.2,14.2,4.3,52.6,-127.8,-0.3,4
Arizona,71.3,11.3,14.8,48.5,120.0,-0.5,4
ArizonaState,64.5,4.5,26.7,27.5,107.3,0.3,3
Colorado,35.5,13.2,-4.0,42.3,-21.0,-0.3,4
UCLA,87.9,5.4,6.0,80.0,22.3,0.0,3
USC,68.8,10.5,12.0,63.4,-94.7,0.3,3
Utah,83.2,4.0,30.0,48.3,75.0,-0.3,3
Florida,159.5,17.1,22.0,133.7,45.0,0.0,2
Georgia,99.0,15.4,29.0,54.7,198.7,-0.3,3
