Division,Score
Big East Conference,38.6
Big 12 Conference - South,36.9
Southeastern Conference - West,34.1
Southeastern Conference - East,32.8
Atlantic Coast Conference - Atlantic,32.6
Pacific-10 Conference,31.1
Big Ten Conference,30.8
Big 12 Conference - North,26.2
Independent,24.3
Mountain West Conference,23.6
Atlantic Coast Conference - Coastal,23.3
Western Athletic Conference,21.5
Conference USA - West,20.7
Conference USA - East,16.1
Mid-American Conference - West,15.4
Mid-American Conference - East,12.8
Sun Belt Conference,12.7
FCS,1.6
