Division,Score
Big East Conference,38.2
Big 12 Conference - South,36.6
Southeastern Conference - West,33.9
Southeastern Conference - East,33.7
Pacific-10 Conference,31.1
Atlantic Coast Conference - Atlantic,30.7
Big Ten Conference,30.7
Big 12 Conference - North,26.6
Mountain West Conference,23.5
Independent,23.5
Atlantic Coast Conference - Coastal,23.5
Western Athletic Conference,21.7
Conference USA - West,20.3
Mid-American Conference - West,16.9
Conference USA - East,16.8
Sun Belt Conference,13.1
Mid-American Conference - East,12.0
FCS,1.6
