Division,Score
Big East Conference,39.5
Big 12 Conference - South,38.4
Atlantic Coast Conference - Atlantic,33.4
Southeastern Conference - West,33.3
Southeastern Conference - East,32.5
Pacific-10 Conference,31.7
Big Ten Conference,31.1
Big 12 Conference - North,24.9
Atlantic Coast Conference - Coastal,22.7
Mountain West Conference,22.5
Independent,21.2
Conference USA - West,20.9
Western Athletic Conference,20.3
Mid-American Conference - West,15.7
Conference USA - East,14.1
Sun Belt Conference,12.7
Mid-American Conference - East,12.5
FCS,1.5
