Division,Score
Big East Conference,38.5
Southeastern Conference - East,35.7
Big 12 Conference - South,35.5
Southeastern Conference - West,33.9
Pacific-10 Conference,30.9
Atlantic Coast Conference - Atlantic,30.9
Big Ten Conference,29.3
Mountain West Conference,24.8
Big 12 Conference - North,24.6
Atlantic Coast Conference - Coastal,22.6
Independent,22.3
Western Athletic Conference,22.1
Conference USA - West,19.0
Mid-American Conference - West,16.9
Conference USA - East,16.2
Sun Belt Conference,13.3
Mid-American Conference - East,11.0
FCS,1.7
