Division,Score
Big East Conference,40.8
Big 12 Conference - South,37.9
Atlantic Coast Conference - Atlantic,36.3
Big Ten Conference,34.8
Pacific-10 Conference,33.8
Southeastern Conference - West,33.3
Southeastern Conference - East,32.9
Big 12 Conference - North,28.9
Independent,24.9
Mountain West Conference,23.8
Atlantic Coast Conference - Coastal,23.4
Conference USA - West,21.1
Western Athletic Conference,20.1
Mid-American Conference - West,16.3
Conference USA - East,15.9
Mid-American Conference - East,14.9
Sun Belt Conference,12.7
FCS,1.6
