Division,Score
Big Ten Conference,29.5
Big 12 Conference - South,29.0
Atlantic Coast Conference - Atlantic,27.1
Pacific-10 Conference,26.1
Atlantic Coast Conference - Coastal,25.6
Southeastern Conference - West,24.8
Big East Conference,24.7
Big 12 Conference - North,24.2
Southeastern Conference - East,22.5
Mountain West Conference,20.0
Independent,19.3
Conference USA - East,16.7
Mid-American Conference - West,16.2
Conference USA - West,14.9
Western Athletic Conference,12.3
Mid-American Conference - East,10.3
Sun Belt Conference,7.1
FCS,3.3
