Division,Score
Big 12 Conference - South,39.5
Big East Conference,39.2
Big Ten Conference,37.3
Atlantic Coast Conference - Atlantic,36.0
Pacific-10 Conference,35.3
Southeastern Conference - East,34.4
Southeastern Conference - West,33.5
Big 12 Conference - North,32.9
Mountain West Conference,26.5
Atlantic Coast Conference - Coastal,24.7
Independent,24.1
Western Athletic Conference,20.4
Conference USA - West,20.4
Mid-American Conference - West,18.9
Conference USA - East,18.0
Mid-American Conference - East,14.2
Sun Belt Conference,11.4
FCS,2.1
