Division,Score
Big Ten Conference,34.2
Big 12 Conference - South,32.9
Big East Conference,31.6
Atlantic Coast Conference - Atlantic,30.9
Pacific-10 Conference,28.9
Southeastern Conference - West,28.0
Big 12 Conference - North,26.3
Southeastern Conference - East,26.2
Mountain West Conference,20.8
Independent,20.6
Atlantic Coast Conference - Coastal,19.5
Conference USA - West,16.7
Conference USA - East,14.6
Mid-American Conference - West,14.5
Western Athletic Conference,13.8
Sun Belt Conference,11.3
Mid-American Conference - East,10.8
FCS,1.6
