Division,Score
Big East Conference,38.7
Big 12 Conference - South,37.9
Big Ten Conference,36.1
Southeastern Conference - West,33.6
Southeastern Conference - East,33.5
Big 12 Conference - North,33.2
Pacific-10 Conference,33.0
Atlantic Coast Conference - Atlantic,32.6
Atlantic Coast Conference - Coastal,26.6
Mountain West Conference,26.5
Independent,24.1
Conference USA - East,20.0
Western Athletic Conference,16.9
Conference USA - West,16.9
Mid-American Conference - East,15.2
Mid-American Conference - West,14.4
Sun Belt Conference,13.5
FCS,2.4
