Division,Score
Big East Conference,37.8
Big 12 Conference - South,36.8
Southeastern Conference - East,33.8
Southeastern Conference - West,33.1
Pacific-10 Conference,31.1
Atlantic Coast Conference - Atlantic,30.7
Big Ten Conference,30.7
Big 12 Conference - North,26.0
Independent,23.6
Mountain West Conference,23.6
Atlantic Coast Conference - Coastal,23.0
Western Athletic Conference,21.7
Conference USA - West,20.2
Mid-American Conference - West,17.3
Conference USA - East,16.1
Sun Belt Conference,13.1
Mid-American Conference - East,11.4
FCS,1.6
