Conference,Score
Big East Conference,38.4
Southeastern Conference,33.6
Pacific-10 Conference,30.7
Big Ten Conference,30.1
Big 12 Conference,29.9
Atlantic Coast Conference,26.6
Mountain West Conference,24.6
Independent,23.1
Western Athletic Conference,21.9
Conference USA,17.0
Mid-American Conference,14.3
Sun Belt Conference,13.0
FCS,1.6
